Timestamp,TotalEpisodes,RunnerWinRate,PursuerWinRate,DrawRate,OverallRunnerJitter,OverallPursuerJitter,OverallNearMiss,OverallEpisodeSteps
2026-07-14 09:35:17,521,1.92,3.84,94.24,0.1477,0.1486,0.4048,958.61
2026-07-14 09:39:24,516,1.55,3.10,95.35,0.1486,0.1493,0.3954,968.88
2026-07-14 09:42:29,515,2.52,2.33,95.15,0.1499,0.1502,0.2751,969.97
2026-07-14 09:45:26,507,0.59,1.58,97.83,0.1502,0.1504,0.3570,985.61
2026-07-14 09:55:39,514,1.36,2.72,95.91,0.1497,0.1494,0.2115,972.23
2026-07-14 09:59:41,510,0.98,2.75,96.27,0.1496,0.1495,0.2702,980.29
2026-07-14 10:03:52,514,2.14,2.33,95.53,0.1496,0.1491,0.2616,972.20
2026-07-14 10:06:49,515,1.75,2.52,95.73,0.1494,0.1498,0.2656,969.40
2026-07-14 10:09:46,517,0.77,4.45,94.78,0.1492,0.1493,0.3620,966.02
2026-07-14 10:12:43,512,0.98,2.73,96.29,0.1489,0.1497,0.3114,974.79
2026-07-14 10:44:57,512,1.56,2.54,95.90,0.1494,0.1502,0.3893,975.02
2026-07-14 10:47:54,511,1.57,2.74,95.69,0.1491,0.1497,0.4161,978.36
2026-07-14 10:50:50,518,2.12,3.09,94.79,0.1488,0.1501,0.3883,965.18
2026-07-14 10:53:47,517,2.71,2.71,94.58,0.1486,0.1488,0.3600,966.78
2026-07-14 10:55:05,205,1.46,0.00,98.54,0.1512,0.1503,0.3074,991.68
2026-07-14 10:55:16,1,0.00,0.00,100.00,0.1499,0.1546,2.5400,999.00
2026-07-14 11:00:32,519,1.54,3.08,95.38,0.1483,0.1479,0.3321,962.12
2026-07-14 11:03:10,311,0.64,2.57,96.78,0.1496,0.1500,0.2019,982.53
2026-07-14 13:46:20,365,0.27,2.74,96.99,0.1489,0.1498,0.5920,983.26
2026-07-14 13:46:50,22,0.00,4.55,95.45,0.1745,0.1511,0.2055,953.64
