Episode,Winner,RunnerAcc,PursuerAcc,DrawsPercentage,RunnerJitter,PursuerJitter,NearMissTime
1,Pursuer,0.000,1.000,0.000,0.811,0.468, 0.00
2,Runner,0.500,0.500,0.000,0.193,0.152, 0.40
3,Runner,0.667,0.333,0.000,0.153,0.137, 0.00
4,Draw,0.500,0.250,0.250,0.153,0.147, 8.16
5,Draw,0.400,0.200,0.400,0.144,0.154, 0.00
6,Draw,0.333,0.167,0.500,0.151,0.151, 0.00
7,Draw,0.286,0.143,0.571,0.157,0.144, 0.00
8,Draw,0.250,0.125,0.625,0.160,0.148, 0.00
9,Draw,0.222,0.111,0.667,0.154,0.146, 7.56
10,Draw,0.200,0.100,0.700,0.161,0.151, 7.24
11,Draw,0.182,0.091,0.727,0.157,0.147, 0.00
12,Draw,0.167,0.083,0.750,0.142,0.155, 0.00
13,Draw,0.154,0.077,0.769,0.166,0.151, 0.00
14,Draw,0.143,0.071,0.786,0.145,0.143, 0.00
15,Draw,0.133,0.067,0.800,0.155,0.146, 0.00
16,Draw,0.125,0.063,0.813,0.145,0.148, 0.00
17,Draw,0.118,0.059,0.824,0.155,0.146, 0.00
18,Runner,0.167,0.056,0.778,0.000,0.000, 0.00
19,Draw,0.158,0.053,0.789,0.156,0.156, 0.00
20,Pursuer,0.150,0.100,0.750,0.265,0.234, 0.00
21,Draw,0.143,0.095,0.762,0.157,0.146, 0.00
22,Pursuer,0.136,0.136,0.727,0.284,0.166, 0.00
23,Draw,0.130,0.130,0.739,0.149,0.158, 6.66
24,Draw,0.125,0.125,0.750,0.158,0.146, 0.00
25,Draw,0.120,0.120,0.760,0.145,0.148, 0.00
26,Draw,0.115,0.115,0.769,0.146,0.139, 0.00
27,Draw,0.111,0.111,0.778,0.143,0.157, 0.00
28,Draw,0.107,0.107,0.786,0.155,0.139, 16.94
29,Draw,0.103,0.103,0.793,0.155,0.158, 1.94
30,Draw,0.100,0.100,0.800,0.160,0.148, 0.00
31,Draw,0.097,0.097,0.806,0.150,0.157, 0.00
32,Draw,0.094,0.094,0.813,0.152,0.147, 0.00
33,Draw,0.091,0.091,0.818,0.136,0.145, 0.00
34,Draw,0.088,0.088,0.824,0.151,0.149, 0.00
35,Draw,0.086,0.086,0.829,0.159,0.156, 0.00
36,Draw,0.083,0.083,0.833,0.154,0.144, 18.16
37,Draw,0.081,0.081,0.838,0.149,0.155, 0.00
38,Pursuer,0.079,0.105,0.816,0.164,0.160, 0.00
39,Pursuer,0.077,0.128,0.795,0.131,0.122, 0.00
40,Draw,0.075,0.125,0.800,0.147,0.150, 0.00
41,Pursuer,0.073,0.146,0.780,0.151,0.167, 0.00
42,Draw,0.071,0.143,0.786,0.146,0.166, 0.00
43,Draw,0.070,0.140,0.791,0.142,0.135, 0.00
44,Draw,0.068,0.136,0.795,0.158,0.151, 0.00
45,Draw,0.067,0.133,0.800,0.149,0.147, 0.00
46,Draw,0.065,0.130,0.804,0.152,0.147, 0.34
47,Draw,0.064,0.128,0.809,0.147,0.141, 0.00
48,Draw,0.063,0.125,0.813,0.145,0.159, 0.00
49,Draw,0.061,0.122,0.816,0.165,0.159, 0.00
50,Draw,0.060,0.120,0.820,0.142,0.151, 0.00
51,Draw,0.059,0.118,0.824,0.154,0.157, 0.00
52,Draw,0.058,0.115,0.827,0.154,0.159, 10.50
53,Draw,0.057,0.113,0.830,0.143,0.147, 0.00
54,Pursuer,0.056,0.130,0.815,0.198,0.200, 0.00
55,Draw,0.055,0.127,0.818,0.144,0.161, 14.66
56,Draw,0.054,0.125,0.821,0.145,0.145, 0.00
57,Draw,0.053,0.123,0.825,0.152,0.144, 6.16
58,Draw,0.052,0.121,0.828,0.153,0.152, 0.00
59,Draw,0.051,0.119,0.831,0.151,0.153, 0.00
60,Draw,0.050,0.117,0.833,0.141,0.151, 5.08
61,Draw,0.049,0.115,0.836,0.159,0.144, 0.00
62,Draw,0.048,0.113,0.839,0.143,0.152, 0.00
63,Draw,0.048,0.111,0.841,0.150,0.160, 0.00
64,Draw,0.047,0.109,0.844,0.152,0.157, 0.00
65,Draw,0.046,0.108,0.846,0.148,0.149, 3.02
66,Draw,0.045,0.106,0.848,0.147,0.151, 15.16
67,Draw,0.045,0.104,0.851,0.153,0.143, 0.00
68,Runner,0.059,0.103,0.838,0.000,0.000, 0.00
69,Pursuer,0.058,0.116,0.826,0.000,0.000, 0.00
70,Draw,0.057,0.114,0.829,0.157,0.144, 0.00
71,Draw,0.056,0.113,0.831,0.146,0.153, 2.40
72,Draw,0.056,0.111,0.833,0.158,0.150, 0.14
73,Draw,0.055,0.110,0.836,0.137,0.142, 0.00
74,Draw,0.054,0.108,0.838,0.153,0.154, 0.00
75,Draw,0.053,0.107,0.840,0.155,0.150, 0.00
76,Pursuer,0.053,0.118,0.829,0.137,0.156, 0.00
77,Draw,0.052,0.117,0.831,0.157,0.144, 0.00
78,Runner,0.064,0.115,0.821,0.143,0.145, 10.36
79,Pursuer,0.063,0.127,0.810,0.150,0.144, 0.00
80,Draw,0.063,0.125,0.813,0.147,0.156, 9.86
81,Draw,0.062,0.123,0.815,0.150,0.147, 3.64
82,Draw,0.061,0.122,0.817,0.146,0.139, 0.00
83,Draw,0.060,0.120,0.819,0.156,0.148, 8.90
84,Draw,0.060,0.119,0.821,0.137,0.146, 0.00
85,Draw,0.059,0.118,0.824,0.158,0.141, 7.28
86,Runner,0.070,0.116,0.814,0.000,0.000, 0.00
87,Pursuer,0.069,0.126,0.805,0.000,0.000, 0.00
88,Draw,0.068,0.125,0.807,0.151,0.153, 0.10
89,Draw,0.067,0.124,0.809,0.148,0.158, 9.82
90,Pursuer,0.067,0.133,0.800,0.063,0.006, 0.00
91,Draw,0.066,0.132,0.802,0.141,0.159, 0.00
92,Draw,0.065,0.130,0.804,0.147,0.147, 4.32
93,Draw,0.065,0.129,0.806,0.157,0.151, 0.00
94,Runner,0.074,0.128,0.798,0.119,0.154, 0.00
95,Pursuer,0.074,0.137,0.789,0.000,0.000, 0.00
96,Draw,0.073,0.135,0.792,0.150,0.143, 0.00
97,Draw,0.072,0.134,0.794,0.154,0.158, 0.00
98,Draw,0.071,0.133,0.796,0.147,0.160, 0.00
99,Draw,0.071,0.131,0.798,0.141,0.152, 0.00
100,Draw,0.070,0.130,0.800,0.137,0.149, 7.96
101,Draw,0.069,0.129,0.802,0.150,0.136, 0.00
102,Draw,0.069,0.127,0.804,0.145,0.153, 4.48
103,Draw,0.068,0.126,0.806,0.143,0.156, 0.00
104,Draw,0.067,0.125,0.808,0.159,0.142, 0.00
105,Draw,0.067,0.124,0.810,0.148,0.152, 0.00
106,Draw,0.066,0.123,0.811,0.141,0.151, 19.92
107,Draw,0.065,0.121,0.813,0.148,0.160, 13.46
108,Pursuer,0.065,0.130,0.806,0.210,0.146, 0.00
109,Draw,0.064,0.128,0.807,0.144,0.156, 0.00
110,Draw,0.064,0.127,0.809,0.158,0.135, 19.98
111,Draw,0.063,0.126,0.811,0.135,0.152, 14.68
112,Pursuer,0.063,0.134,0.804,0.000,0.000, 0.00
113,Draw,0.062,0.133,0.805,0.149,0.155, 3.20
114,Draw,0.061,0.132,0.807,0.152,0.151, 0.00
115,Pursuer,0.061,0.139,0.800,0.075,0.016, 0.00
116,Pursuer,0.060,0.147,0.793,0.270,0.180, 0.00
117,Pursuer,0.060,0.154,0.786,0.153,0.144, 0.00
118,Draw,0.059,0.153,0.788,0.158,0.151, 0.00
119,Draw,0.059,0.151,0.790,0.147,0.140, 7.52
120,Runner,0.067,0.150,0.783,0.000,0.000, 0.00
121,Runner,0.074,0.149,0.777,0.144,0.171, 1.30
122,Runner,0.082,0.148,0.770,0.151,0.152, 0.00
123,Runner,0.089,0.146,0.764,0.152,0.148, 0.00
124,Draw,0.089,0.145,0.766,0.150,0.150, 0.00
125,Draw,0.088,0.144,0.768,0.144,0.156, 1.66
126,Draw,0.087,0.143,0.770,0.151,0.152, 0.00
127,Draw,0.087,0.142,0.772,0.147,0.152, 0.00
128,Draw,0.086,0.141,0.773,0.155,0.140, 0.00
129,Draw,0.085,0.140,0.775,0.152,0.150, 9.24
130,Draw,0.085,0.138,0.777,0.151,0.157, 0.00
131,Draw,0.084,0.137,0.779,0.156,0.151, 0.00
132,Draw,0.083,0.136,0.780,0.148,0.142, 0.12
133,Pursuer,0.083,0.143,0.774,0.159,0.156, 0.00
134,Draw,0.082,0.142,0.776,0.144,0.144, 0.00
135,Draw,0.081,0.141,0.778,0.159,0.150, 0.00
136,Draw,0.081,0.140,0.779,0.158,0.147, 0.00
137,Runner,0.088,0.139,0.774,0.153,0.137, 0.00
138,Draw,0.087,0.138,0.775,0.158,0.149, 0.00
139,Draw,0.086,0.137,0.777,0.141,0.156, 0.00
140,Draw,0.086,0.136,0.779,0.149,0.144, 0.00
141,Runner,0.092,0.135,0.773,0.000,0.000, 0.00
142,Draw,0.092,0.134,0.775,0.147,0.149, 16.70
143,Draw,0.091,0.133,0.776,0.151,0.158, 0.00
144,Draw,0.090,0.132,0.778,0.145,0.156, 0.00
145,Draw,0.090,0.131,0.779,0.139,0.154, 0.00
146,Draw,0.089,0.130,0.781,0.145,0.148, 0.00
147,Draw,0.088,0.129,0.782,0.143,0.149, 0.00
148,Draw,0.088,0.128,0.784,0.144,0.145, 0.00
149,Draw,0.087,0.128,0.785,0.161,0.155, 0.00
150,Draw,0.087,0.127,0.787,0.139,0.168, 0.00
151,Draw,0.086,0.126,0.788,0.147,0.149, 14.78
152,Draw,0.086,0.125,0.789,0.150,0.152, 19.68
153,Pursuer,0.085,0.131,0.784,0.183,0.151, 0.00
154,Pursuer,0.084,0.136,0.779,0.125,0.146, 0.00
155,Draw,0.084,0.135,0.781,0.145,0.147, 0.00
156,Draw,0.083,0.135,0.782,0.158,0.146, 0.00
157,Draw,0.083,0.134,0.783,0.144,0.146, 6.08
158,Pursuer,0.082,0.139,0.778,0.144,0.143, 0.00
159,Draw,0.082,0.138,0.780,0.151,0.145, 8.74
160,Draw,0.081,0.138,0.781,0.150,0.157, 4.80
161,Runner,0.087,0.137,0.776,0.000,0.000, 0.00
162,Runner,0.093,0.136,0.772,0.153,0.135, 0.00
163,Draw,0.092,0.135,0.773,0.152,0.148, 0.00
164,Pursuer,0.091,0.140,0.768,0.140,0.158, 0.00
165,Draw,0.091,0.139,0.770,0.142,0.152, 0.08
166,Pursuer,0.090,0.145,0.765,0.147,0.104, 0.00
167,Draw,0.090,0.144,0.766,0.162,0.148, 19.94
168,Draw,0.089,0.143,0.768,0.135,0.158, 0.00
169,Draw,0.089,0.142,0.769,0.157,0.154, 0.66
170,Draw,0.088,0.141,0.771,0.149,0.155, 0.00
171,Draw,0.088,0.140,0.772,0.135,0.151, 5.30
172,Pursuer,0.087,0.145,0.767,0.160,0.140, 0.00
173,Pursuer,0.087,0.150,0.763,0.156,0.155, 0.00
174,Pursuer,0.086,0.155,0.759,0.156,0.142, 0.00
175,Draw,0.086,0.154,0.760,0.139,0.151, 0.00
176,Draw,0.085,0.153,0.761,0.149,0.148, 19.84
177,Draw,0.085,0.153,0.763,0.154,0.147, 10.18
178,Draw,0.084,0.152,0.764,0.154,0.151, 0.00
179,Draw,0.084,0.151,0.765,0.144,0.149, 0.00
180,Pursuer,0.083,0.156,0.761,0.000,0.000, 0.00
181,Runner,0.088,0.155,0.757,0.139,0.152, 0.00
182,Draw,0.088,0.154,0.758,0.165,0.148, 14.00
183,Draw,0.087,0.153,0.760,0.157,0.157, 0.00
184,Draw,0.087,0.152,0.761,0.164,0.155, 0.00
185,Draw,0.086,0.151,0.762,0.147,0.156, 0.00
186,Draw,0.086,0.151,0.763,0.152,0.142, 15.00
187,Draw,0.086,0.150,0.765,0.149,0.146, 13.42
188,Draw,0.085,0.149,0.766,0.150,0.151, 0.00
189,Runner,0.090,0.148,0.762,0.076,0.042, 0.00
190,Draw,0.089,0.147,0.763,0.133,0.135, 4.10
191,Runner,0.094,0.147,0.759,0.137,0.156, 0.00
192,Draw,0.094,0.146,0.760,0.153,0.152, 0.00
193,Runner,0.098,0.145,0.756,0.000,0.000, 0.00
194,Pursuer,0.098,0.149,0.753,0.148,0.136, 0.00
195,Draw,0.097,0.149,0.754,0.158,0.150, 5.16
196,Runner,0.102,0.148,0.750,0.133,0.147, 0.00
197,Draw,0.102,0.147,0.751,0.145,0.143, 0.00
198,Draw,0.101,0.146,0.753,0.144,0.138, 0.00
199,Draw,0.101,0.146,0.754,0.155,0.137, 0.00
200,Draw,0.100,0.145,0.755,0.161,0.147, 1.38
201,Draw,0.100,0.144,0.756,0.154,0.155, 0.00
202,Draw,0.099,0.144,0.757,0.142,0.151, 0.00
203,Pursuer,0.099,0.148,0.754,0.000,0.000, 0.00
