Episode,Winner,RunnerAcc,PursuerAcc,DrawsPercentage,RunnerJitter,PursuerJitter,NearMissTime
1,Pursuer,0.000,1.000,0.000,0.256,0.705, 0.00
2,Pursuer,0.000,1.000,0.000,0.065,0.065, 0.00
3,Draw,0.000,0.667,0.333,0.140,0.147, 0.00
4,Draw,0.000,0.500,0.500,0.148,0.136, 2.78
5,Draw,0.000,0.400,0.600,0.148,0.160, 0.00
6,Draw,0.000,0.333,0.667,0.159,0.143, 0.00
7,Draw,0.000,0.286,0.714,0.147,0.142, 0.00
8,Draw,0.000,0.250,0.750,0.149,0.159, 0.00
9,Draw,0.000,0.222,0.778,0.138,0.139, 0.00
10,Draw,0.000,0.200,0.800,0.146,0.150, 2.26
11,Draw,0.000,0.182,0.818,0.149,0.156, 1.60
12,Draw,0.000,0.167,0.833,0.150,0.150, 1.84
13,Draw,0.000,0.154,0.846,0.166,0.150, 0.00
14,Draw,0.000,0.143,0.857,0.143,0.163, 0.00
15,Draw,0.000,0.133,0.867,0.151,0.146, 0.00
16,Draw,0.000,0.125,0.875,0.151,0.142, 0.00
17,Runner,0.059,0.118,0.824,0.000,0.000, 0.00
18,Draw,0.056,0.111,0.833,0.159,0.149, 0.00
19,Draw,0.053,0.105,0.842,0.152,0.143, 0.38
20,Pursuer,0.050,0.150,0.800,0.000,0.000, 0.00
21,Draw,0.048,0.143,0.810,0.137,0.160, 0.00
22,Draw,0.045,0.136,0.818,0.166,0.157, 7.24
23,Draw,0.043,0.130,0.826,0.157,0.155, 0.00
24,Draw,0.042,0.125,0.833,0.150,0.151, 0.00
25,Draw,0.040,0.120,0.840,0.149,0.145, 0.00
26,Draw,0.038,0.115,0.846,0.158,0.147, 0.00
27,Draw,0.037,0.111,0.852,0.137,0.149, 0.00
28,Draw,0.036,0.107,0.857,0.146,0.148, 0.00
29,Draw,0.034,0.103,0.862,0.153,0.153, 0.00
30,Draw,0.033,0.100,0.867,0.155,0.149, 0.00
31,Draw,0.032,0.097,0.871,0.153,0.151, 0.00
32,Draw,0.031,0.094,0.875,0.148,0.139, 0.00
33,Draw,0.030,0.091,0.879,0.138,0.147, 0.00
34,Draw,0.029,0.088,0.882,0.157,0.151, 9.14
35,Pursuer,0.029,0.114,0.857,0.000,0.000, 0.00
36,Draw,0.028,0.111,0.861,0.152,0.146, 0.14
37,Draw,0.027,0.108,0.865,0.138,0.138, 0.00
38,Draw,0.026,0.105,0.868,0.152,0.166, 0.00
39,Draw,0.026,0.103,0.872,0.145,0.148, 7.02
40,Draw,0.025,0.100,0.875,0.144,0.148, 0.00
41,Draw,0.024,0.098,0.878,0.139,0.152, 6.62
42,Draw,0.024,0.095,0.881,0.152,0.150, 0.00
43,Draw,0.023,0.093,0.884,0.152,0.151, 0.00
44,Draw,0.023,0.091,0.886,0.146,0.163, 0.00
45,Draw,0.022,0.089,0.889,0.152,0.149, 14.74
46,Draw,0.022,0.087,0.891,0.146,0.153, 0.00
47,Draw,0.021,0.085,0.894,0.148,0.150, 0.00
48,Draw,0.021,0.083,0.896,0.150,0.156, 0.00
49,Draw,0.020,0.082,0.898,0.142,0.155, 0.46
50,Draw,0.020,0.080,0.900,0.147,0.152, 19.98
51,Draw,0.020,0.078,0.902,0.148,0.152, 0.00
52,Runner,0.038,0.077,0.885,0.000,0.000, 0.00
53,Draw,0.038,0.075,0.887,0.143,0.144, 0.00
54,Draw,0.037,0.074,0.889,0.152,0.150, 1.70
55,Runner,0.055,0.073,0.873,0.000,0.000, 0.00
