Episode,Winner,RunnerJitter,PursuerJitter,NearMissTime
1,Runner,0.403,0.311,0.00
2,Pursuer,0.163,0.164,0.00
3,Draw,0.167,0.154,0.00
4,Draw,0.158,0.164,0.00
5,Draw,0.149,0.140,0.00
6,Draw,0.153,0.160,7.78
7,Draw,0.147,0.159,3.40
8,Draw,0.144,0.144,0.72
9,Draw,0.151,0.140,0.00
10,Draw,0.157,0.152,9.66
11,Draw,0.156,0.153,0.00
12,Draw,0.148,0.147,0.00
13,Draw,0.152,0.144,0.00
14,Draw,0.154,0.152,0.00
15,Draw,0.151,0.152,0.00
16,Draw,0.154,0.145,0.00
17,Draw,0.149,0.140,14.24
18,Draw,0.157,0.146,0.00
19,Pursuer,0.123,0.161,0.00
20,Pursuer,0.173,0.130,0.00
21,Draw,0.152,0.143,0.00
22,Draw,0.153,0.146,0.00
23,Draw,0.146,0.152,0.00
24,Draw,0.149,0.143,0.00
25,Draw,0.152,0.144,0.00
26,Draw,0.157,0.154,0.00
27,Draw,0.149,0.160,0.00
28,Draw,0.143,0.156,0.00
29,Draw,0.151,0.151,4.24
30,Draw,0.138,0.164,0.00
31,Draw,0.151,0.148,0.00
32,Draw,0.149,0.148,0.00
33,Draw,0.133,0.142,0.00
34,Pursuer,0.163,0.187,0.00
35,Draw,0.148,0.166,0.00
36,Draw,0.157,0.162,0.00
37,Draw,0.152,0.152,0.64
38,Pursuer,0.149,0.142,0.00
39,Draw,0.145,0.155,0.00
40,Draw,0.145,0.155,0.00
41,Draw,0.151,0.135,0.00
42,Draw,0.151,0.157,2.32
43,Draw,0.153,0.159,11.46
44,Draw,0.146,0.150,0.00
45,Draw,0.152,0.148,0.02
46,Draw,0.167,0.146,0.00
47,Draw,0.133,0.150,0.00
48,Draw,0.148,0.150,0.00
49,Draw,0.150,0.146,0.00
50,Pursuer,0.000,0.000,0.00
51,Draw,0.156,0.142,0.00
52,Pursuer,0.152,0.151,0.00
53,Draw,0.151,0.137,0.00
54,Draw,0.132,0.155,0.00
55,Runner,0.152,0.153,8.82
56,Pursuer,0.000,0.000,0.00
57,Draw,0.162,0.147,0.00
58,Pursuer,0.152,0.145,0.00
59,Pursuer,0.143,0.153,0.00
60,Draw,0.154,0.140,0.00
61,Draw,0.160,0.150,0.00
62,Draw,0.145,0.141,0.00
63,Draw,0.141,0.144,9.28
64,Draw,0.153,0.142,0.00
65,Draw,0.146,0.159,5.00
66,Draw,0.153,0.142,18.46
67,Draw,0.150,0.147,0.00
68,Draw,0.146,0.139,0.00
69,Draw,0.154,0.151,0.00
70,Runner,0.140,0.140,11.86
71,Draw,0.146,0.143,4.90
72,Draw,0.157,0.149,0.00
73,Draw,0.154,0.159,0.00
74,Pursuer,0.160,0.165,0.00
75,Draw,0.148,0.155,10.62
76,Pursuer,0.145,0.159,0.00
77,Draw,0.157,0.157,0.00
78,Draw,0.145,0.158,3.02
79,Draw,0.157,0.150,17.50
80,Draw,0.142,0.149,0.00
81,Draw,0.141,0.153,1.96
82,Draw,0.157,0.152,0.00
83,Draw,0.138,0.147,0.56
84,Draw,0.141,0.140,0.00
85,Draw,0.146,0.143,0.00
86,Runner,0.131,0.195,0.00
87,Pursuer,0.000,0.000,0.00
88,Draw,0.148,0.159,0.00
89,Draw,0.144,0.148,0.00
90,Pursuer,0.138,0.180,0.00
91,Pursuer,0.155,0.134,0.00
92,Draw,0.143,0.159,0.00
93,Runner,0.150,0.126,0.00
94,Draw,0.142,0.159,14.26
95,Draw,0.142,0.157,0.00
96,Pursuer,0.149,0.165,0.00
97,Draw,0.155,0.149,16.00
98,Runner,0.142,0.148,0.00
99,Draw,0.150,0.135,0.00
100,Draw,0.154,0.152,0.00
101,Draw,0.153,0.141,0.00
102,Draw,0.146,0.151,0.00
103,Draw,0.149,0.161,1.62
104,Draw,0.151,0.155,0.00
105,Pursuer,0.254,0.099,0.00
106,Runner,0.179,0.133,0.28
107,Draw,0.153,0.144,0.00
108,Draw,0.144,0.142,0.00
109,Draw,0.143,0.155,4.74
110,Draw,0.147,0.152,10.72
111,Runner,0.000,0.000,0.00
112,Pursuer,0.162,0.145,0.00
113,Runner,0.112,0.313,0.06
114,Draw,0.153,0.148,0.00
115,Pursuer,0.154,0.136,0.00
116,Draw,0.153,0.150,0.00
117,Draw,0.143,0.164,0.00
118,Pursuer,0.000,0.000,0.00
119,Pursuer,0.145,0.156,0.00
120,Draw,0.161,0.153,0.00
121,Pursuer,0.146,0.136,0.00
122,Draw,0.149,0.142,19.60
123,Draw,0.157,0.161,0.00
124,Draw,0.158,0.153,0.00
125,Draw,0.148,0.149,0.72
126,Draw,0.144,0.153,0.26
127,Draw,0.153,0.150,0.00
128,Draw,0.161,0.163,3.50
129,Draw,0.156,0.144,0.00
130,Draw,0.155,0.152,0.00
131,Draw,0.138,0.144,0.00
132,Draw,0.153,0.141,8.34
133,Draw,0.148,0.135,0.00
134,Pursuer,0.138,0.147,0.00
135,Draw,0.144,0.155,0.00
136,Draw,0.137,0.136,0.00
137,Draw,0.150,0.144,10.20
138,Draw,0.144,0.152,0.00
139,Pursuer,0.149,0.141,0.00
140,Pursuer,0.148,0.146,0.00
141,Runner,0.145,0.149,1.30
142,Runner,0.142,0.147,0.00
143,Runner,0.163,0.175,0.00
144,Draw,0.163,0.152,0.00
145,Draw,0.144,0.145,6.04
146,Pursuer,0.189,0.368,0.00
147,Draw,0.148,0.147,0.82
148,Draw,0.153,0.153,1.42
149,Runner,0.156,0.147,0.00
150,Draw,0.147,0.156,0.30
151,Draw,0.149,0.143,0.00
152,Pursuer,0.172,0.119,0.00
153,Draw,0.152,0.147,0.00
154,Draw,0.158,0.154,0.00
155,Draw,0.145,0.155,0.00
156,Draw,0.150,0.156,17.90
157,Draw,0.140,0.147,6.26
158,Pursuer,0.151,0.137,0.00
159,Draw,0.151,0.153,0.00
160,Pursuer,0.154,0.145,0.00
161,Draw,0.145,0.149,8.76
162,Draw,0.145,0.145,0.00
163,Draw,0.147,0.141,3.40
164,Draw,0.146,0.130,2.46
