Episode,Winner,RunnerAcc,PursuerAcc,DrawsPercentage,RunnerJitter,PursuerJitter,NearMissTime,EpisodeSteps
1,Runner,1.000,0.000,0.000,0.333,0.224,0.00,1.00
2,Runner,1.000,0.000,0.000,0.161,0.143,7.46,374.00
3,Runner,1.000,0.000,0.000,0.142,0.186,0.00,33.00
4,Draw,0.750,0.000,0.250,0.164,0.155,7.10,999.00
5,Draw,0.600,0.000,0.400,0.154,0.155,0.00,999.00
6,Draw,0.500,0.000,0.500,0.146,0.139,0.00,999.00
7,Draw,0.429,0.000,0.571,0.138,0.153,0.00,999.00
8,Draw,0.375,0.000,0.625,0.159,0.155,0.00,999.00
9,Draw,0.333,0.000,0.667,0.155,0.137,7.44,999.00
10,Draw,0.300,0.000,0.700,0.151,0.168,0.00,999.00
11,Draw,0.273,0.000,0.727,0.157,0.151,0.00,999.00
12,Draw,0.250,0.000,0.750,0.149,0.153,0.00,999.00
13,Draw,0.231,0.000,0.769,0.165,0.167,0.00,999.00
14,Draw,0.214,0.000,0.786,0.143,0.134,0.00,999.00
15,Draw,0.200,0.000,0.800,0.152,0.158,0.00,999.00
16,Draw,0.188,0.000,0.813,0.151,0.141,0.00,999.00
17,Draw,0.176,0.000,0.824,0.148,0.162,0.00,999.00
18,Pursuer,0.167,0.056,0.778,0.000,0.000,0.00,0.00
19,Draw,0.158,0.053,0.789,0.160,0.159,0.00,999.00
20,Runner,0.200,0.050,0.750,0.165,0.141,0.00,183.00
21,Pursuer,0.190,0.095,0.714,0.138,0.148,0.00,374.00
22,Draw,0.182,0.091,0.727,0.177,0.136,0.00,999.00
23,Pursuer,0.174,0.130,0.696,0.163,0.153,0.00,931.00
24,Draw,0.167,0.125,0.708,0.147,0.153,16.28,999.00
25,Draw,0.160,0.120,0.720,0.156,0.144,3.06,999.00
26,Draw,0.154,0.115,0.731,0.148,0.151,19.70,999.00
27,Draw,0.148,0.111,0.741,0.153,0.152,0.00,999.00
28,Draw,0.143,0.107,0.750,0.154,0.146,7.54,999.00
29,Draw,0.138,0.103,0.759,0.152,0.143,0.00,999.00
30,Draw,0.133,0.100,0.767,0.139,0.148,0.00,999.00
31,Draw,0.129,0.097,0.774,0.142,0.141,0.00,999.00
32,Draw,0.125,0.094,0.781,0.158,0.134,14.70,999.00
33,Draw,0.121,0.091,0.788,0.148,0.156,0.00,999.00
34,Draw,0.118,0.088,0.794,0.148,0.129,0.00,999.00
35,Draw,0.114,0.086,0.800,0.143,0.172,0.00,999.00
36,Runner,0.139,0.083,0.778,0.140,0.152,0.00,91.00
37,Runner,0.162,0.081,0.757,0.201,0.117,0.00,53.00
38,Draw,0.158,0.079,0.763,0.151,0.151,19.38,999.00
39,Draw,0.154,0.077,0.769,0.151,0.149,2.10,999.00
40,Draw,0.150,0.075,0.775,0.157,0.156,0.00,999.00
41,Runner,0.171,0.073,0.756,0.160,0.147,0.00,547.00
42,Draw,0.167,0.071,0.762,0.136,0.160,18.40,999.00
43,Draw,0.163,0.070,0.767,0.151,0.141,2.52,999.00
44,Draw,0.159,0.068,0.773,0.145,0.134,0.00,999.00
45,Draw,0.156,0.067,0.778,0.158,0.157,0.00,999.00
46,Draw,0.152,0.065,0.783,0.141,0.142,0.00,999.00
47,Draw,0.149,0.064,0.787,0.148,0.160,0.00,999.00
48,Draw,0.146,0.063,0.792,0.147,0.148,0.00,999.00
49,Draw,0.143,0.061,0.796,0.152,0.151,19.98,999.00
50,Draw,0.140,0.060,0.800,0.152,0.144,0.00,999.00
51,Draw,0.137,0.059,0.804,0.148,0.141,0.00,999.00
52,Draw,0.135,0.058,0.808,0.143,0.149,0.00,999.00
53,Pursuer,0.132,0.075,0.792,0.111,0.091,0.00,9.00
54,Draw,0.130,0.074,0.796,0.149,0.143,5.72,999.00
55,Draw,0.127,0.073,0.800,0.154,0.156,14.22,999.00
56,Draw,0.125,0.071,0.804,0.150,0.146,0.00,999.00
57,Draw,0.123,0.070,0.807,0.147,0.159,0.00,999.00
58,Draw,0.121,0.069,0.810,0.170,0.160,0.00,999.00
59,Draw,0.119,0.068,0.814,0.155,0.152,0.00,999.00
60,Draw,0.117,0.067,0.817,0.143,0.144,19.98,999.00
61,Draw,0.115,0.066,0.820,0.155,0.150,16.34,999.00
62,Draw,0.113,0.065,0.823,0.151,0.156,0.24,999.00
63,Draw,0.111,0.063,0.825,0.151,0.164,8.08,999.00
64,Draw,0.109,0.063,0.828,0.142,0.149,0.00,999.00
65,Draw,0.108,0.062,0.831,0.150,0.143,0.00,999.00
66,Draw,0.106,0.061,0.833,0.153,0.153,0.00,999.00
67,Draw,0.104,0.060,0.836,0.151,0.147,4.54,999.00
68,Draw,0.103,0.059,0.838,0.152,0.149,4.16,999.00
69,Draw,0.101,0.058,0.841,0.141,0.151,7.50,999.00
70,Draw,0.100,0.057,0.843,0.169,0.152,0.00,999.00
71,Draw,0.099,0.056,0.845,0.141,0.140,0.00,999.00
72,Draw,0.097,0.056,0.847,0.151,0.147,1.14,999.00
73,Draw,0.096,0.055,0.849,0.153,0.145,0.00,999.00
74,Pursuer,0.095,0.068,0.838,0.144,0.131,0.00,408.00
75,Draw,0.093,0.067,0.840,0.151,0.157,0.00,999.00
76,Draw,0.092,0.066,0.842,0.158,0.143,0.00,999.00
77,Draw,0.091,0.065,0.844,0.156,0.160,0.00,999.00
78,Draw,0.090,0.064,0.846,0.136,0.149,0.00,999.00
79,Draw,0.089,0.063,0.848,0.154,0.151,0.00,999.00
80,Draw,0.088,0.063,0.850,0.159,0.141,19.82,999.00
81,Draw,0.086,0.062,0.852,0.142,0.159,1.14,999.00
82,Draw,0.085,0.061,0.854,0.151,0.138,0.00,999.00
83,Draw,0.084,0.060,0.855,0.146,0.149,12.48,999.00
84,Pursuer,0.083,0.071,0.845,0.000,0.000,0.00,0.00
85,Draw,0.082,0.071,0.847,0.143,0.151,5.18,999.00
86,Draw,0.081,0.070,0.849,0.144,0.153,0.00,999.00
87,Runner,0.092,0.069,0.839,0.000,0.000,0.00,0.00
88,Draw,0.091,0.068,0.841,0.156,0.141,0.00,999.00
89,Draw,0.090,0.067,0.843,0.159,0.154,0.00,999.00
90,Runner,0.100,0.067,0.833,0.165,0.152,5.92,846.00
91,Draw,0.099,0.066,0.835,0.143,0.148,0.00,999.00
92,Draw,0.098,0.065,0.837,0.151,0.147,0.00,999.00
93,Draw,0.097,0.065,0.839,0.150,0.138,0.00,999.00
94,Pursuer,0.096,0.074,0.830,0.135,0.166,0.00,272.00
95,Pursuer,0.095,0.084,0.821,0.143,0.148,0.00,890.00
96,Pursuer,0.094,0.094,0.813,0.135,0.162,0.00,217.00
97,Runner,0.103,0.093,0.804,0.141,0.147,0.00,978.00
98,Pursuer,0.102,0.102,0.796,0.147,0.142,0.00,843.00
99,Draw,0.101,0.101,0.798,0.152,0.146,0.00,999.00
100,Draw,0.100,0.100,0.800,0.159,0.135,0.00,999.00
101,Draw,0.099,0.099,0.802,0.153,0.162,14.38,999.00
102,Draw,0.098,0.098,0.804,0.150,0.155,8.26,999.00
103,Draw,0.097,0.097,0.806,0.167,0.148,13.22,999.00
104,Draw,0.096,0.096,0.808,0.139,0.148,2.68,999.00
105,Draw,0.095,0.095,0.810,0.150,0.154,17.22,999.00
106,Pursuer,0.094,0.104,0.802,0.000,0.000,0.00,0.00
107,Pursuer,0.093,0.112,0.794,0.207,0.044,0.00,5.00
108,Draw,0.093,0.111,0.796,0.156,0.144,5.64,999.00
109,Pursuer,0.092,0.119,0.789,0.108,0.156,0.00,60.00
110,Draw,0.091,0.118,0.791,0.155,0.140,0.00,999.00
111,Draw,0.090,0.117,0.793,0.154,0.151,13.66,999.00
112,Draw,0.089,0.116,0.795,0.156,0.150,0.00,999.00
113,Draw,0.088,0.115,0.796,0.150,0.145,0.00,999.00
114,Runner,0.096,0.114,0.789,0.144,0.160,0.00,493.00
115,Pursuer,0.096,0.122,0.783,0.143,0.171,0.00,796.00
116,Draw,0.095,0.121,0.784,0.152,0.151,1.98,999.00
117,Draw,0.094,0.120,0.786,0.152,0.147,0.00,999.00
118,Draw,0.093,0.119,0.788,0.149,0.151,0.00,999.00
119,Draw,0.092,0.118,0.790,0.150,0.144,18.28,999.00
120,Draw,0.092,0.117,0.792,0.147,0.153,0.00,999.00
121,Draw,0.091,0.116,0.793,0.149,0.142,8.88,999.00
122,Draw,0.090,0.115,0.795,0.141,0.142,0.00,999.00
123,Runner,0.098,0.114,0.789,0.000,0.000,0.00,0.00
124,Draw,0.097,0.113,0.790,0.148,0.146,0.00,999.00
125,Draw,0.096,0.112,0.792,0.143,0.144,3.62,999.00
126,Draw,0.095,0.111,0.794,0.148,0.151,0.00,999.00
127,Runner,0.102,0.110,0.787,0.000,0.000,0.00,0.00
128,Runner,0.109,0.109,0.781,0.132,0.188,2.32,116.00
129,Draw,0.109,0.109,0.783,0.149,0.152,9.06,999.00
130,Draw,0.108,0.108,0.785,0.167,0.145,0.00,999.00
131,Draw,0.107,0.107,0.786,0.160,0.152,0.00,999.00
132,Draw,0.106,0.106,0.788,0.143,0.148,0.00,999.00
133,Draw,0.105,0.105,0.789,0.152,0.152,0.00,999.00
134,Runner,0.112,0.104,0.784,0.148,0.152,0.00,528.00
135,Pursuer,0.111,0.111,0.778,0.150,0.162,0.00,583.00
136,Draw,0.110,0.110,0.779,0.140,0.151,0.00,999.00
137,Draw,0.109,0.109,0.781,0.139,0.142,0.00,999.00
138,Draw,0.109,0.109,0.783,0.144,0.145,11.36,999.00
139,Draw,0.108,0.108,0.784,0.153,0.153,0.00,999.00
140,Draw,0.107,0.107,0.786,0.143,0.149,0.00,999.00
141,Draw,0.106,0.106,0.787,0.145,0.160,0.62,999.00
142,Draw,0.106,0.106,0.789,0.158,0.149,0.00,999.00
143,Draw,0.105,0.105,0.790,0.146,0.157,0.00,999.00
144,Draw,0.104,0.104,0.792,0.154,0.138,0.00,999.00
145,Draw,0.103,0.103,0.793,0.144,0.144,0.00,999.00
146,Draw,0.103,0.103,0.795,0.149,0.143,0.00,999.00
147,Draw,0.102,0.102,0.796,0.140,0.142,13.42,999.00
148,Draw,0.101,0.101,0.797,0.147,0.141,0.00,999.00
149,Pursuer,0.101,0.107,0.792,0.137,0.157,0.00,660.00
150,Draw,0.100,0.107,0.793,0.145,0.149,0.00,999.00
151,Draw,0.099,0.106,0.795,0.156,0.143,4.24,999.00
152,Pursuer,0.099,0.112,0.789,0.148,0.150,0.00,870.00
153,Draw,0.098,0.111,0.791,0.139,0.145,9.36,999.00
154,Pursuer,0.097,0.117,0.786,0.158,0.147,0.00,852.00
155,Draw,0.097,0.116,0.787,0.147,0.143,0.00,999.00
156,Runner,0.103,0.115,0.782,0.000,0.000,0.00,0.00
157,Draw,0.102,0.115,0.783,0.144,0.155,0.00,999.00
158,Draw,0.101,0.114,0.785,0.141,0.142,0.00,999.00
159,Draw,0.101,0.113,0.786,0.144,0.150,0.00,999.00
160,Draw,0.100,0.113,0.788,0.155,0.147,19.88,999.00
161,Draw,0.099,0.112,0.789,0.138,0.154,4.80,999.00
162,Draw,0.099,0.111,0.790,0.159,0.141,0.00,999.00
163,Pursuer,0.098,0.117,0.785,0.128,0.158,0.00,207.00
164,Draw,0.098,0.116,0.787,0.163,0.141,0.00,999.00
165,Draw,0.097,0.115,0.788,0.147,0.145,0.00,999.00
166,Pursuer,0.096,0.120,0.783,0.000,0.000,0.00,0.00
167,Draw,0.096,0.120,0.784,0.143,0.147,0.00,999.00
168,Runner,0.101,0.119,0.780,0.154,0.163,0.16,660.00
169,Draw,0.101,0.118,0.781,0.146,0.146,6.42,999.00
170,Draw,0.100,0.118,0.782,0.136,0.139,0.00,999.00
171,Draw,0.099,0.117,0.784,0.147,0.144,0.00,999.00
