Episode,Winner,RunnerJitter,PursuerJitter,NearMissTime
1,Pursuer,0.254,0.091,0.00
2,Pursuer,1.091,0.629,0.00
3,Runner,0.000,0.000,0.02
4,Pursuer,0.209,0.103,0.00
5,Pursuer,0.134,0.148,0.00
6,Runner,0.144,0.142,0.00
7,Runner,0.169,0.141,5.40
8,Pursuer,0.148,0.150,0.00
9,Draw,0.154,0.155,0.00
10,Draw,0.148,0.152,4.64
11,Draw,0.140,0.161,6.68
12,Draw,0.152,0.153,0.00
13,Draw,0.153,0.162,0.00
14,Draw,0.155,0.154,0.00
15,Draw,0.141,0.144,0.00
16,Draw,0.146,0.136,0.00
17,Draw,0.147,0.160,0.00
18,Pursuer,0.000,0.000,0.00
19,Draw,0.148,0.142,0.00
20,Draw,0.155,0.142,0.00
21,Draw,0.147,0.139,0.00
22,Draw,0.139,0.143,0.00
23,Draw,0.144,0.138,0.00
24,Pursuer,0.149,0.157,0.00
25,Draw,0.146,0.148,0.00
26,Draw,0.152,0.152,0.00
27,Draw,0.146,0.145,0.00
28,Draw,0.150,0.152,0.00
29,Draw,0.145,0.147,0.00
30,Draw,0.142,0.149,0.94
31,Draw,0.150,0.162,0.00
32,Draw,0.146,0.147,0.00
33,Draw,0.145,0.146,0.00
34,Draw,0.139,0.142,0.00
35,Draw,0.162,0.155,0.00
36,Draw,0.143,0.146,0.00
37,Draw,0.154,0.150,0.00
38,Pursuer,0.046,0.058,0.00
39,Draw,0.151,0.153,0.00
40,Draw,0.146,0.155,0.00
41,Draw,0.141,0.143,19.98
42,Draw,0.140,0.158,0.00
43,Runner,0.157,0.157,0.00
44,Draw,0.153,0.162,0.00
45,Draw,0.140,0.152,0.00
46,Draw,0.146,0.155,11.84
47,Draw,0.149,0.148,1.56
48,Draw,0.145,0.150,0.00
49,Draw,0.156,0.146,19.42
50,Draw,0.149,0.152,0.00
51,Draw,0.162,0.146,0.00
52,Draw,0.144,0.148,0.00
53,Draw,0.149,0.142,0.92
54,Draw,0.148,0.154,0.00
55,Draw,0.146,0.138,3.14
56,Draw,0.147,0.135,0.00
57,Pursuer,0.153,0.148,0.00
58,Draw,0.136,0.142,18.64
59,Draw,0.139,0.139,0.00
60,Pursuer,0.141,0.137,0.00
61,Runner,0.138,0.164,2.14
62,Draw,0.144,0.161,0.00
63,Pursuer,0.161,0.163,0.00
64,Runner,0.147,0.152,0.00
65,Pursuer,0.179,0.132,0.00
66,Draw,0.158,0.143,0.00
67,Draw,0.140,0.152,0.00
68,Draw,0.154,0.161,5.78
69,Draw,0.156,0.153,10.34
70,Draw,0.148,0.133,0.00
71,Pursuer,0.000,0.000,0.00
72,Draw,0.142,0.150,0.00
73,Draw,0.144,0.150,16.26
74,Draw,0.156,0.150,0.00
75,Draw,0.160,0.148,0.00
76,Draw,0.149,0.153,18.36
77,Draw,0.151,0.145,0.00
78,Draw,0.154,0.135,13.48
79,Draw,0.136,0.156,0.00
80,Runner,0.149,0.161,0.00
81,Draw,0.153,0.142,0.00
82,Draw,0.146,0.142,8.62
83,Draw,0.160,0.153,19.98
84,Draw,0.142,0.152,0.00
85,Draw,0.135,0.144,0.00
86,Draw,0.149,0.161,0.00
87,Draw,0.152,0.156,0.00
88,Pursuer,0.000,0.000,0.00
89,Draw,0.136,0.158,0.00
90,Runner,0.000,0.000,0.00
91,Draw,0.157,0.146,0.00
92,Draw,0.153,0.144,1.64
93,Pursuer,0.127,0.128,0.00
94,Pursuer,0.113,0.199,0.00
95,Draw,0.154,0.144,0.00
96,Draw,0.152,0.137,0.00
97,Pursuer,0.136,0.162,0.00
98,Draw,0.155,0.134,0.00
99,Draw,0.151,0.154,0.00
100,Pursuer,0.000,0.000,0.00
