Episode,Winner,RunnerAcc,PursuerAcc,RunnerJitter,PursuerJitter,NearMissTime
1,Draw,0.000,0.000,0.144,0.155,0.00
2,Draw,0.000,0.000,0.147,0.153,0.00
3,Draw,0.000,0.000,0.159,0.151,8.56
4,Draw,0.000,0.000,0.152,0.149,0.00
5,Draw,0.000,0.000,0.151,0.137,0.00
6,Draw,0.000,0.000,0.149,0.140,0.00
7,Draw,0.000,0.000,0.146,0.150,0.00
8,Draw,0.000,0.000,0.161,0.142,17.12
9,Draw,0.000,0.000,0.144,0.148,0.00
10,Draw,0.000,0.000,0.153,0.152,0.00
11,Draw,0.000,0.000,0.148,0.161,0.00
12,Draw,0.000,0.000,0.149,0.137,17.60
13,Draw,0.000,0.000,0.151,0.158,0.00
14,Draw,0.000,0.000,0.160,0.148,10.00
15,Draw,0.000,0.000,0.162,0.149,0.18
16,Draw,0.000,0.000,0.156,0.150,5.50
17,Runner,0.059,0.000,0.000,0.000,0.00
18,Pursuer,0.056,0.056,0.156,0.145,0.00
19,Draw,0.053,0.053,0.146,0.147,0.00
20,Draw,0.050,0.050,0.143,0.153,0.00
21,Draw,0.048,0.048,0.161,0.148,0.12
22,Draw,0.045,0.045,0.150,0.148,0.00
23,Draw,0.043,0.043,0.165,0.154,0.00
24,Draw,0.042,0.042,0.160,0.158,0.00
25,Draw,0.040,0.040,0.155,0.150,0.50
26,Draw,0.038,0.038,0.152,0.157,0.00
27,Draw,0.037,0.037,0.145,0.151,2.96
28,Draw,0.036,0.036,0.149,0.154,0.00
29,Draw,0.034,0.034,0.158,0.149,19.98
30,Draw,0.033,0.033,0.142,0.152,0.00
31,Draw,0.032,0.032,0.143,0.158,0.00
32,Draw,0.031,0.031,0.142,0.144,0.00
33,Draw,0.030,0.030,0.158,0.159,7.50
34,Pursuer,0.029,0.059,0.000,0.000,0.00
35,Pursuer,0.029,0.086,0.000,0.000,0.00
36,Pursuer,0.028,0.111,0.111,0.117,0.00
37,Runner,0.054,0.108,0.177,0.133,0.00
38,Runner,0.079,0.105,0.148,0.143,0.00
