Episode,RunnerAcc,PursuerAcc
100,0.09,0.18
200,0.1,0.24
300,0.2,0.29
400,0.2,0.48
500,0.3,0.38
600,0.32,0.48
700,0.38,0.37
800,0.37,0.41
900,0.45,0.38
1000,0.49,0.4
1100,0.42,0.43
1200,0.46,0.36
1300,0.51,0.32
1400,0.47,0.4
1500,0.43,0.46
1600,0.46,0.44
1700,0.41,0.47
1800,0.43,0.42
1900,0.43,0.5
2000,0.63,0.3
2100,0.46,0.45
2200,0.48,0.47
2300,0.4,0.59
2400,0.51,0.45
2500,0.5,0.45
2600,0.46,0.49
2700,0.41,0.52
2800,0.45,0.52
2900,0.4,0.54
3000,0.51,0.48
3100,0.44,0.48
3200,0.56,0.39
3300,0.52,0.41
3400,0.52,0.44
3500,0.39,0.52
3600,0.44,0.51
3700,0.39,0.53
3800,0.44,0.47
3900,0.46,0.44
4000,0.43,0.5
4100,0.44,0.47
4200,0.46,0.49
4300,0.43,0.54
4400,0.48,0.46
4500,0.44,0.53
4600,0.54,0.41
4700,0.47,0.5
4800,0.42,0.5
4900,0.43,0.51
5000,0.48,0.49
5100,0.52,0.41
5200,0.39,0.55
5300,0.41,0.53
5400,0.38,0.56
5500,0.52,0.41
5600,0.42,0.52
5700,0.48,0.51
5800,0.4,0.51
5900,0.5,0.47
6000,0.51,0.47
6100,0.43,0.52
6200,0.42,0.53
6300,0.46,0.52
6400,0.56,0.4
6500,0.46,0.51
6600,0.46,0.43
6700,0.49,0.49
6800,0.46,0.44
6900,0.46,0.51
7000,0.52,0.4
7100,0.53,0.43
7200,0.45,0.48
7300,0.45,0.49
7400,0.44,0.53
7500,0.56,0.41
7600,0.52,0.44
7700,0.49,0.47
7800,0.47,0.48
7900,0.3,0.61
8000,0.49,0.46
8100,0.55,0.43
8200,0.53,0.4
