Episode,RunnerAcc,PursuerAcc,DrawsPercentage,RunnerJitter,PursuerJitter,NearMissTime,EpisodeStepsAvg
100,0.13,0.15,0.72,0.1382471,0.1392055,1.43081,784.95
200,0.13,0.21,0.66,0.1325732,0.1337851,1.48801,768.76
300,0.13,0.28,0.59,0.1420161,0.140356,2.312207,764.54
400,0.16,0.42,0.42,0.1365162,0.1383838,2.42321,630.5
500,0.18,0.46,0.36,0.1423482,0.1489786,2.919617,614.29
600,0.24,0.42,0.34,0.14555,0.1529467,2.467015,623.27
700,0.26,0.53,0.21,0.1469826,0.1463027,2.059409,490.52
800,0.33,0.53,0.14,0.1426587,0.1430099,1.734609,457.93
900,0.29,0.51,0.2,0.1383852,0.1353308,2.64042,512.27
1000,0.37,0.49,0.14,0.1427513,0.1417026,2.057612,457.79
1100,0.4,0.46,0.14,0.1566813,0.1506123,2.15961,449.91
1200,0.39,0.46,0.15,0.1359831,0.1375112,2.168014,436.39
1300,0.44,0.46,0.1,0.1413316,0.1426719,1.457006,395.21
1400,0.35,0.54,0.11,0.1400094,0.1398231,1.459005,415.25
1500,0.41,0.5,0.09,0.1361314,0.1392058,1.922212,343.3
1600,0.5,0.41,0.09,0.1485715,0.1418491,1.760411,359.18
1700,0.42,0.48,0.1,0.1453865,0.1391148,1.94021,364.69
1800,0.41,0.51,0.08,0.1456004,0.1434086,1.411408,313.5
1900,0.44,0.52,0.04,0.1403657,0.1406732,1.224805,325.17
2000,0.49,0.43,0.08,0.1397209,0.1442488,1.507209,316.94
2100,0.45,0.46,0.09,0.1432833,0.1434733,2.316615,332.41
2200,0.38,0.5,0.12,0.1377899,0.135335,2.502221,338.91
2300,0.46,0.49,0.05,0.1358805,0.1407425,1.226407,276.36
2400,0.44,0.52,0.04,0.1438596,0.1532341,1.396805,261.13
2500,0.37,0.49,0.14,0.1419906,0.1434776,2.270417,377.91
2600,0.39,0.58,0.03,0.1365512,0.1389042,0.7466022,281.71
2700,0.45,0.53,0.02,0.1429007,0.1404475,1.164604,312.24
2800,0.48,0.47,0.05,0.1378827,0.139116,1.684011,274.47
2900,0.45,0.49,0.06,0.1530336,0.1438166,2.032413,315.4
3000,0.43,0.46,0.11,0.1387691,0.1457824,2.52122,326.2
3100,0.39,0.54,0.07,0.1439537,0.1387769,1.449609,305.92
3200,0.43,0.52,0.05,0.1378867,0.1383046,1.408606,280.45
3300,0.43,0.45,0.12,0.1470222,0.140338,2.256014,306.87
3400,0.38,0.55,0.07,0.144972,0.1386494,1.260808,274.16
3500,0.39,0.55,0.06,0.1390926,0.1375528,1.656011,285.92
3600,0.5,0.46,0.04,0.1381789,0.1389546,1.149604,294.49
3700,0.44,0.51,0.05,0.1397741,0.1398157,1.000405,268.25
3800,0.44,0.47,0.09,0.1443366,0.1421441,1.721012,281.83
3900,0.42,0.52,0.06,0.1321413,0.1297386,0.7804033,230.33
4000,0.41,0.55,0.04,0.1305395,0.139163,0.9676055,236.3
4100,0.47,0.49,0.04,0.1378371,0.1381482,1.021607,256.01
4200,0.46,0.48,0.06,0.1405881,0.1382257,1.073406,286.12
4300,0.41,0.57,0.02,0.1335097,0.1316239,1.089005,259.21
4400,0.49,0.49,0.02,0.1463815,0.1407558,1.149805,285.38
4500,0.49,0.49,0.02,0.1374314,0.1373264,0.6644017,246.55
4600,0.38,0.57,0.05,0.1374721,0.1367811,1.154007,298.41
4700,0.51,0.46,0.03,0.131569,0.1372038,0.8920031,231.07
4800,0.42,0.53,0.05,0.1360067,0.1367324,0.9282028,243.73
4900,0.5,0.49,0.01,0.1400093,0.1366157,0.9804021,222.62
5000,0.46,0.52,0.02,0.1335996,0.1362401,0.5902013,228.44
5100,0.48,0.51,0.01,0.1361855,0.1384982,0.8160021,240.73
5200,0.43,0.56,0.01,0.1341357,0.1362205,0.6945994,217.18
5300,0.35,0.61,0.04,0.1393626,0.1416461,1.081806,210.06
5400,0.43,0.54,0.03,0.1450777,0.1430957,0.6222018,247.67
5500,0.39,0.54,0.07,0.1449499,0.1385517,1.013807,258.56
5600,0.41,0.53,0.06,0.1373376,0.1346389,1.48981,256.98
5700,0.41,0.52,0.07,0.1430974,0.148399,1.29841,252.84
5800,0.49,0.45,0.06,0.1338893,0.1338824,1.508007,262.28
5900,0.39,0.6,0.01,0.1419275,0.1504783,0.4444018,192.92
6000,0.44,0.5,0.06,0.1321015,0.133228,1.53421,247.55
6100,0.54,0.37,0.09,0.1282108,0.1375722,2.141017,273.78
6200,0.46,0.48,0.06,0.1429755,0.1499859,1.186607,251.62
6300,0.51,0.44,0.05,0.1337381,0.1317924,1.207806,241.61
