Episode,RunnerAcc,PursuerAcc,DrawsPercentage,RunnerJitter,PursuerJitter,NearMissTime,EpisodeStepsAvg
100,0.1,0.16,0.74,0.149661,0.1503963,1.777816,779.6
200,0.07,0.13,0.8,0.1423156,0.1423918,2.518419,862.5
300,0.05,0.18,0.77,0.148315,0.1456934,3.042021,870.96
400,0.11,0.2,0.69,0.1403257,0.1420603,2.753823,806.88
500,0.11,0.23,0.66,0.1366164,0.1394531,2.177214,793.35
600,0.11,0.31,0.58,0.1365927,0.1355062,3.460026,750.15
700,0.17,0.3,0.53,0.1513948,0.1534633,2.956017,731.77
800,0.16,0.35,0.49,0.1409543,0.1401101,3.330819,702.42
900,0.26,0.35,0.39,0.1398752,0.139887,2.404213,646.24
1000,0.4,0.3,0.3,0.1409521,0.1438537,2.134409,606.98
1100,0.29,0.47,0.24,0.1338776,0.1334654,2.741018,523.61
1200,0.31,0.4,0.29,0.1557467,0.1540251,3.568422,603.29
1300,0.32,0.46,0.22,0.1381614,0.1417198,2.523214,520.78
1400,0.29,0.47,0.24,0.1449793,0.1450355,2.483416,527.83
1500,0.33,0.44,0.23,0.1526642,0.1505581,2.274408,532.8
1600,0.32,0.49,0.19,0.1496218,0.149262,2.019008,472.39
1700,0.37,0.48,0.15,0.1471626,0.1428962,2.040008,479.41
1800,0.39,0.52,0.09,0.1470758,0.1447779,1.296203,442.52
1900,0.33,0.48,0.19,0.1418555,0.1393869,2.762424,449.14
2000,0.34,0.5,0.16,0.1365561,0.1384722,2.598414,462.11
2100,0.32,0.53,0.15,0.1491819,0.1466446,1.70001,431.66
2200,0.32,0.59,0.09,0.139893,0.1359206,1.667807,433.97
2300,0.24,0.62,0.14,0.1463846,0.1476518,2.059413,406.43
2400,0.42,0.42,0.16,0.1541246,0.1576773,1.681214,422.86
2500,0.3,0.61,0.09,0.1363066,0.1387222,1.337407,356.6
2600,0.35,0.56,0.09,0.1437608,0.1472981,1.384805,371.38
2700,0.35,0.6,0.05,0.1456352,0.1442242,1.113006,323.81
2800,0.37,0.54,0.09,0.140869,0.144192,1.474007,335.32
2900,0.39,0.53,0.08,0.149885,0.1487799,1.349806,387.1
3000,0.39,0.57,0.04,0.1411134,0.1368967,1.261004,336.67
3100,0.37,0.54,0.09,0.1424923,0.1391722,1.293609,361.53
3200,0.4,0.53,0.07,0.1416361,0.1398156,1.139404,297.87
3300,0.35,0.6,0.05,0.1461312,0.1452854,0.9736028,343.38
3400,0.44,0.5,0.06,0.1396983,0.1390138,1.185402,315.6
3500,0.39,0.5,0.11,0.145435,0.1474954,1.68521,354.05
3600,0.44,0.51,0.05,0.1530493,0.1453457,1.747405,301.98
3700,0.35,0.59,0.06,0.1430755,0.1401716,1.120207,332.54
3800,0.43,0.48,0.09,0.136783,0.1421234,1.515605,325.6
3900,0.43,0.44,0.13,0.1425285,0.14304,1.91381,374.55
4000,0.39,0.55,0.06,0.1493918,0.153253,0.7544021,306.69
4100,0.43,0.49,0.08,0.143479,0.140293,1.325606,306.08
4200,0.37,0.5,0.13,0.152282,0.1478173,1.949412,345.44
4300,0.41,0.55,0.04,0.1422319,0.142556,0.8450045,274.2
4400,0.4,0.57,0.03,0.1376549,0.1376047,0.9176042,270.49
4500,0.39,0.51,0.1,0.1313841,0.1316606,1.621408,324.79
4600,0.38,0.57,0.05,0.1519805,0.1556363,0.8554033,298.11
4700,0.52,0.43,0.05,0.1392528,0.1402784,1.521207,310.65
4800,0.52,0.45,0.03,0.1390052,0.1347349,0.8202025,251.33
4900,0.42,0.51,0.07,0.1350747,0.1356127,1.329808,303
5000,0.32,0.63,0.05,0.1413797,0.1411762,1.083005,288.22
5100,0.38,0.57,0.05,0.1424988,0.1439965,1.181404,276.62
5200,0.56,0.41,0.03,0.1407117,0.1459413,1.083003,261.79
5300,0.46,0.49,0.05,0.1376503,0.1377877,1.223205,298.48
5400,0.44,0.5,0.06,0.1368096,0.1334092,1.254208,268.88
5500,0.38,0.59,0.03,0.1409571,0.1434007,0.7820022,248.97
5600,0.44,0.55,0.01,0.1391457,0.1373049,0.863202,249.11
5700,0.46,0.53,0.01,0.1422661,0.142702,0.7972008,257.51
5800,0.4,0.56,0.04,0.136451,0.1393493,1.025205,249.36
5900,0.45,0.53,0.02,0.1356356,0.1376005,0.8406015,262.1
6000,0.42,0.57,0.01,0.1416041,0.1426393,0.7684013,267.27
6100,0.55,0.45,0,0.1450365,0.1425028,0.891601,225.69
6200,0.39,0.54,0.07,0.148328,0.1524916,1.408409,298.01
6300,0.52,0.45,0.03,0.1399617,0.138072,1.167805,253.56
6400,0.4,0.58,0.02,0.1388471,0.1373714,0.5347995,238.79
6500,0.48,0.5,0.02,0.1333226,0.1354973,0.918003,251.67
6600,0.45,0.54,0.01,0.1409777,0.1456251,0.6818016,238.67
6700,0.48,0.51,0.01,0.1437329,0.1367521,0.8622035,225.5
6800,0.52,0.46,0.02,0.1498487,0.1451881,1.009604,211.76
6900,0.47,0.5,0.03,0.1478221,0.1398543,1.035404,247.05
7000,0.39,0.59,0.02,0.1301747,0.132561,0.8912029,198.54
