Episode,RunnerAcc,PursuerAcc,DrawsPercentage,RunnerJitter,PursuerJitter,NearMissTime,EpisodeStepsAvg
100,0.07,0.21,0.72,0.1470982,0.146672,2.168419,804.39
200,0.11,0.17,0.72,0.1395113,0.1402213,1.464804,827.12
300,0.08,0.27,0.65,0.1421118,0.1415424,2.987623,780.86
400,0.17,0.25,0.58,0.1476263,0.1472531,2.250811,742.3
500,0.24,0.21,0.55,0.1414236,0.1435724,3.713222,779.26
600,0.22,0.29,0.49,0.1494216,0.1522545,3.131011,719.67
700,0.36,0.34,0.3,0.1411944,0.1424402,2.577813,587.71
800,0.27,0.4,0.33,0.1389004,0.1365828,2.574612,612.99
900,0.41,0.33,0.26,0.1478653,0.1530371,3.29581,581.34
1000,0.49,0.32,0.19,0.1472954,0.1491066,1.881005,499.82
1100,0.39,0.38,0.23,0.1394001,0.1405449,1.812009,494
1200,0.44,0.41,0.15,0.1373084,0.1357789,1.721609,497.9
1300,0.41,0.46,0.13,0.1478025,0.1460084,1.694006,468.74
1400,0.51,0.38,0.11,0.1430433,0.141005,1.761404,415.44
1500,0.46,0.4,0.14,0.1516257,0.1471346,1.769607,412.79
1600,0.36,0.51,0.13,0.1467475,0.1479083,1.457809,415.23
1700,0.56,0.38,0.06,0.1371977,0.1381406,1.528602,365.13
1800,0.49,0.4,0.11,0.1422608,0.1402621,1.74761,361.88
1900,0.51,0.44,0.05,0.1501806,0.1502626,1.252204,379.76
2000,0.55,0.33,0.12,0.1410154,0.1399179,1.753408,354.9
2100,0.47,0.41,0.12,0.1558878,0.1486093,2.057013,393.34
2200,0.51,0.4,0.09,0.1393557,0.1427462,1.234204,384.67
2300,0.48,0.41,0.11,0.1432983,0.1471248,1.814206,373.22
2400,0.44,0.5,0.06,0.1501857,0.1491683,1.705809,352.58
2500,0.54,0.33,0.13,0.1455449,0.1418468,2.179812,341.05
2600,0.5,0.43,0.07,0.1411918,0.1435845,1.765009,330.96
2700,0.48,0.47,0.05,0.1466047,0.1556864,1.628009,361
2800,0.55,0.42,0.03,0.1382694,0.1352641,1.027403,283.81
2900,0.5,0.47,0.03,0.1405035,0.1408876,1.244604,320.56
3000,0.59,0.38,0.03,0.1395988,0.1410531,1.359405,291.9
3100,0.49,0.41,0.1,0.1457634,0.1441546,1.733811,370.22
3200,0.46,0.47,0.07,0.1558446,0.1479814,1.874612,326.92
3300,0.59,0.37,0.04,0.1385127,0.1376896,1.607606,310.1
3400,0.52,0.47,0.01,0.1411266,0.1428318,0.9278011,242.09
3500,0.48,0.49,0.03,0.1363767,0.1424703,1.005204,266.89
3600,0.47,0.51,0.02,0.1426271,0.1396372,0.9280037,238
3700,0.46,0.47,0.07,0.1419873,0.1495012,1.806406,306
3800,0.57,0.38,0.05,0.1417199,0.1447423,1.525605,288.92
3900,0.55,0.42,0.03,0.1369721,0.1396845,1.039803,248.84
4000,0.45,0.51,0.04,0.1509843,0.1456891,1.148204,279.97
4100,0.38,0.53,0.09,0.1467503,0.1453277,1.730014,323.02
4200,0.55,0.41,0.04,0.1554102,0.152256,1.146805,256.4
4300,0.55,0.39,0.06,0.1400394,0.1453789,1.378607,262.6
4400,0.57,0.39,0.04,0.1462707,0.1453584,1.755608,241.69
4500,0.43,0.52,0.05,0.1400566,0.1436035,1.429009,284.51
4600,0.46,0.49,0.05,0.1379151,0.1354723,1.123408,259.5
4700,0.45,0.51,0.04,0.144908,0.1444334,1.269806,273.88
4800,0.44,0.5,0.06,0.1447914,0.1467953,1.541609,276.84
4900,0.45,0.51,0.04,0.1488722,0.150889,1.313006,271.71
5000,0.47,0.47,0.06,0.1489513,0.1466757,1.28321,259.24
5100,0.48,0.48,0.04,0.1394601,0.1407883,1.214807,276.67
5200,0.53,0.39,0.08,0.1538466,0.1365656,2.052014,281.71
5300,0.45,0.5,0.05,0.1442047,0.1450755,1.314406,225.97
5400,0.44,0.51,0.05,0.134877,0.1396514,1.110004,253.84
5500,0.53,0.46,0.01,0.144516,0.1512379,0.6149996,219.37
5600,0.45,0.5,0.05,0.1446307,0.1477968,1.177008,228.36
5700,0.5,0.47,0.03,0.1397261,0.1407988,1.219403,222.79
5800,0.46,0.52,0.02,0.1398893,0.1379635,1.033202,212.38
5900,0.43,0.54,0.03,0.1477637,0.1394105,0.9820044,220.33
6000,0.42,0.55,0.03,0.1370063,0.1322412,1.161204,235.13
6100,0.55,0.43,0.02,0.1370537,0.1454374,1.055804,209
6200,0.48,0.47,0.05,0.1382229,0.135781,1.252407,219.63
6300,0.47,0.51,0.02,0.1468558,0.136092,0.9620035,182.32
6400,0.49,0.47,0.04,0.1398714,0.1343569,1.250606,256.58
6500,0.44,0.49,0.07,0.1361615,0.1321999,1.41181,246.57
6600,0.45,0.51,0.04,0.1396994,0.138025,0.7928031,233.08
6700,0.43,0.52,0.05,0.1410233,0.1390788,0.9816021,227.56
6800,0.51,0.47,0.02,0.1350185,0.1347113,0.8434021,205.81
6900,0.49,0.46,0.05,0.13095,0.123935,1.393008,238.34
7000,0.51,0.42,0.07,0.1389685,0.1304621,1.501807,255.61
7100,0.44,0.53,0.03,0.1370794,0.1379728,1.171207,191.87
7200,0.54,0.44,0.02,0.1446813,0.1417713,0.8804021,216.1
7300,0.49,0.47,0.04,0.134069,0.1360773,1.578409,199.02
7400,0.49,0.49,0.02,0.1305439,0.1314186,1.213004,194.2
7500,0.62,0.36,0.02,0.1344416,0.1375678,1.038204,200.21
7600,0.5,0.49,0.01,0.1398861,0.1427057,0.8882012,221.67
7700,0.46,0.51,0.03,0.1437444,0.1360741,1.126403,195.54
7800,0.54,0.44,0.02,0.1354209,0.1297421,0.7170014,196.88
7900,0.42,0.57,0.01,0.1463789,0.132568,0.6386023,221.01
8000,0.39,0.58,0.03,0.1329452,0.1312231,0.9504063,207.86
8100,0.47,0.5,0.03,0.1280763,0.1317502,1.117205,212.56
8200,0.52,0.47,0.01,0.1379742,0.1459066,0.6502012,168.5
