Episode,RunnerAcc,PursuerAcc,DrawsPercentage,RunnerJitter,PursuerJitter,NearMissTime,EpisodeStepsAvg
100,0.08,0.13,0.79,0.1536766,0.1581525,2.084618,825.56
200,0.09,0.16,0.75,0.1465304,0.1449514,2.998222,866.03
300,0.13,0.34,0.53,0.1528927,0.1496948,3.496025,716.09
400,0.24,0.34,0.42,0.1454041,0.1463409,3.225223,689.54
500,0.29,0.38,0.33,0.1431904,0.1449273,3.033418,613.67
600,0.34,0.42,0.24,0.1438411,0.1489202,1.972211,514.33
700,0.32,0.42,0.26,0.1459342,0.1454073,2.602213,510.41
800,0.38,0.48,0.14,0.1397996,0.1439068,0.9842039,420.65
900,0.41,0.41,0.18,0.1462864,0.1404732,2.130212,442.6
1000,0.42,0.45,0.13,0.1460411,0.1462188,1.487405,438.06
1100,0.48,0.4,0.12,0.1434317,0.141985,2.014809,369.98
1200,0.37,0.55,0.08,0.1395276,0.1376176,1.899612,348.83
1300,0.45,0.48,0.07,0.1548893,0.1605503,1.314206,302.42
1400,0.44,0.51,0.05,0.1406596,0.1418886,1.491008,340.92
1500,0.46,0.43,0.11,0.1386804,0.140552,2.264812,408.79
1600,0.47,0.48,0.05,0.1389559,0.1418856,1.963011,335.95
1700,0.39,0.55,0.06,0.1444693,0.1555533,1.374807,324.09
1800,0.47,0.5,0.03,0.1387733,0.1383044,1.101803,302.89
1900,0.36,0.59,0.05,0.1389764,0.1394565,1.082405,293.88
2000,0.45,0.48,0.07,0.1397065,0.1406757,1.430605,342.94
2100,0.41,0.48,0.11,0.1377029,0.1353033,1.824811,350.54
2200,0.33,0.62,0.05,0.1371059,0.1396531,0.9298053,314.38
2300,0.39,0.55,0.06,0.138887,0.1375887,0.8336008,324.93
2400,0.54,0.39,0.07,0.1412413,0.1400744,1.342403,328.15
2500,0.52,0.44,0.04,0.1436576,0.1479361,1.060403,289.63
2600,0.42,0.51,0.07,0.1375473,0.1361353,1.323206,306.86
2700,0.51,0.39,0.1,0.1430899,0.1378312,1.626209,297.34
2800,0.49,0.48,0.03,0.1368503,0.1376194,0.7690012,261.07
2900,0.44,0.54,0.02,0.133527,0.1375094,1.091402,268.51
3000,0.51,0.46,0.03,0.1375427,0.1458225,1.153404,243.38
3100,0.52,0.46,0.02,0.1331505,0.1339478,0.6721994,252.43
3200,0.45,0.5,0.05,0.1394364,0.1449585,0.7132028,300.72
3300,0.5,0.44,0.06,0.1396787,0.1392744,1.291405,285.79
3400,0.55,0.39,0.06,0.1475779,0.1350736,1.416206,279.57
3500,0.47,0.47,0.06,0.1384369,0.1335786,0.8790055,252.05
3600,0.5,0.43,0.07,0.1342322,0.138974,1.603607,278.48
3700,0.44,0.47,0.09,0.1412131,0.1414504,1.735613,296.96
3800,0.55,0.39,0.06,0.1336218,0.1427466,1.631008,253.34
3900,0.38,0.53,0.09,0.1352746,0.1360261,1.858816,324.27
4000,0.47,0.5,0.03,0.1291169,0.1318842,1.117005,211.43
4100,0.37,0.6,0.03,0.1409675,0.149465,1.079607,228.05
4200,0.43,0.52,0.05,0.1367105,0.1374566,1.213807,238.38
4300,0.33,0.65,0.02,0.1384037,0.1327216,0.4548,211.36
4400,0.49,0.5,0.01,0.1353643,0.1366917,1.132002,249.82
4500,0.48,0.46,0.06,0.1387798,0.1383093,1.059405,229.46
4600,0.4,0.56,0.04,0.1379359,0.1399084,1.008605,234.14
4700,0.48,0.47,0.05,0.14208,0.141103,1.074007,223.75
4800,0.35,0.61,0.04,0.1332908,0.1376345,1.271009,286.67
4900,0.41,0.56,0.03,0.1373513,0.1451465,0.8456038,249.91
5000,0.5,0.42,0.08,0.1371628,0.1326228,1.423409,271.22
5100,0.52,0.39,0.09,0.1277969,0.1282683,1.748812,276.4
5200,0.45,0.48,0.07,0.1334662,0.1436651,1.236005,277.56
5300,0.44,0.51,0.05,0.1369323,0.1425668,0.9422032,246.58
5400,0.41,0.57,0.02,0.1294853,0.1375518,0.5732018,212.69
5500,0.48,0.46,0.06,0.1302573,0.1301669,1.52881,258.7
5600,0.34,0.59,0.07,0.1351387,0.1348961,1.412211,323.96
5700,0.42,0.55,0.03,0.1279952,0.1273171,0.7972044,213.02
5800,0.39,0.57,0.04,0.1294124,0.1354612,1.013204,241.42
5900,0.43,0.53,0.04,0.1267895,0.1337787,1.201606,217.07
6000,0.49,0.48,0.03,0.1358795,0.1360764,0.9308014,256.79
6100,0.5,0.48,0.02,0.1276435,0.1290703,0.6936015,190.46
6200,0.41,0.53,0.06,0.1289864,0.1286657,0.8986064,274.63
6300,0.56,0.42,0.02,0.1418984,0.1442135,1.179004,243.41
6400,0.38,0.57,0.05,0.1439972,0.1584173,0.7936022,246.25
6500,0.42,0.54,0.04,0.1279182,0.1322052,0.6640036,220.57
6600,0.42,0.54,0.04,0.1332805,0.1302827,0.4686013,239.25
6700,0.47,0.49,0.04,0.1510269,0.1596211,0.7042041,232.34
6800,0.45,0.54,0.01,0.1333991,0.1342151,0.5612014,186.76
6900,0.39,0.52,0.09,0.1334348,0.1523508,1.374612,228.34
7000,0.32,0.61,0.07,0.135897,0.1439187,1.182609,220.12
7100,0.4,0.55,0.05,0.1338049,0.1295979,1.30381,196.75
7200,0.43,0.52,0.05,0.1228772,0.1357783,1.089407,229.06
7300,0.45,0.53,0.02,0.1324797,0.1323412,0.6630009,177.46
7400,0.39,0.59,0.02,0.135618,0.1271184,0.8398035,200.29
7500,0.44,0.52,0.04,0.1416857,0.1306761,1.038408,211.34
7600,0.46,0.52,0.02,0.1238034,0.1252059,0.681002,213.65
7700,0.5,0.43,0.07,0.1263335,0.1298921,2.067616,241.11
7800,0.45,0.51,0.04,0.1299167,0.1458828,1.027005,230.82
7900,0.43,0.54,0.03,0.1194031,0.1213642,0.7850044,195.43
8000,0.38,0.57,0.05,0.1310156,0.1298625,1.139806,220.43
8100,0.41,0.57,0.02,0.1242868,0.1324746,0.563202,233.78
8200,0.43,0.53,0.04,0.1248158,0.1236552,0.8286039,207.86
8300,0.4,0.56,0.04,0.1255589,0.1400923,0.757004,184.62
8400,0.43,0.56,0.01,0.1252548,0.1409688,0.5200021,184.06
8500,0.42,0.55,0.03,0.1266459,0.1270482,0.6202021,195.61
8600,0.43,0.53,0.04,0.1242,0.1423752,0.9794064,202.27
8700,0.49,0.48,0.03,0.126961,0.1268065,0.6770028,175.84
8800,0.4,0.56,0.04,0.1297074,0.1306065,1.190808,247.72
8900,0.45,0.52,0.03,0.1250084,0.1307231,1.161008,179.87
9000,0.3,0.67,0.03,0.1262074,0.1230417,0.7952038,203.97
9100,0.47,0.47,0.06,0.1221016,0.126075,1.336009,217.44
9200,0.41,0.54,0.05,0.1256248,0.1307653,0.9416038,196.08
9300,0.4,0.54,0.06,0.1335464,0.1360666,1.394411,215.62
9400,0.48,0.5,0.02,0.1247744,0.1375344,0.8502043,192.05
9500,0.41,0.57,0.02,0.129155,0.1293584,0.6312023,210.69
9600,0.45,0.54,0.01,0.1290162,0.1367251,0.6160018,185.42
9700,0.44,0.52,0.04,0.1193445,0.1230695,1.147207,184.09
9800,0.4,0.59,0.01,0.1314688,0.1356568,0.6064016,169.54
9900,0.38,0.59,0.03,0.1199214,0.1201353,0.7160058,179.96
10000,0.36,0.61,0.03,0.1221324,0.1259415,0.8954065,164.57
10100,0.38,0.57,0.05,0.1248944,0.1252196,0.9482065,207.87
10200,0.44,0.56,0,0.1184472,0.1235511,0.4872008,182.13
10300,0.38,0.61,0.01,0.1290056,0.1359091,0.3145998,196.92
10400,0.49,0.5,0.01,0.1343569,0.1298697,0.3195997,146.5
10500,0.42,0.52,0.06,0.1242013,0.1267459,1.144405,224.78
10600,0.43,0.53,0.04,0.1247172,0.126861,0.7066035,205.37
10700,0.46,0.52,0.02,0.1233891,0.1368422,0.7754016,181.42
10800,0.5,0.49,0.01,0.1337271,0.1342729,0.5342023,150.21
10900,0.5,0.46,0.04,0.128113,0.1316964,0.8958042,189.53
11000,0.54,0.44,0.02,0.1300632,0.1270543,0.7082018,169.69
11100,0.41,0.55,0.04,0.1258483,0.1262491,0.6816033,180.91
11200,0.44,0.52,0.04,0.1298013,0.132051,0.9632077,174.15
11300,0.43,0.56,0.01,0.1233416,0.1291509,0.3033998,170.77
11400,0.41,0.56,0.03,0.1238104,0.1305427,0.8574047,192.98
11500,0.39,0.56,0.05,0.123858,0.1247213,0.5776041,189.12
11600,0.44,0.52,0.04,0.1310829,0.1334271,0.6818039,187.14
11700,0.46,0.53,0.01,0.1206771,0.1184272,0.5307996,164.75
11800,0.41,0.54,0.05,0.1310564,0.1447865,0.9010086,182.33
11900,0.57,0.39,0.04,0.1173091,0.123038,1.283008,185.89
12000,0.49,0.47,0.04,0.1285091,0.1341858,0.8110037,186.99
12100,0.41,0.54,0.05,0.1200223,0.1277796,0.757004,234.7
12200,0.43,0.55,0.02,0.1275977,0.1430369,0.6542039,190.45
