Episode,RunnerAcc,PursuerAcc,DrawsPercentage,RunnerJitter,PursuerJitter,NearMissTime,EpisodeStepsAvg
100,0.11,0.16,0.73,0.1429203,0.1423202,1.877815,795.67
200,0.07,0.26,0.67,0.1428293,0.1438828,2.379414,789.42
300,0.13,0.34,0.53,0.1506447,0.1535919,2.537812,717.76
400,0.19,0.38,0.43,0.1540549,0.1474927,2.827816,653.9
500,0.25,0.35,0.4,0.1479897,0.1445242,3.665622,657.74
600,0.28,0.37,0.35,0.1358335,0.1370417,3.180628,575.6
700,0.3,0.44,0.26,0.1398019,0.1443274,2.621618,553.88
800,0.39,0.38,0.23,0.1413325,0.1424246,2.857215,506.01
900,0.3,0.49,0.21,0.1407598,0.140785,2.176411,520.95
1000,0.36,0.44,0.2,0.1368423,0.1344327,2.462616,448.4
1100,0.43,0.42,0.15,0.14895,0.1409295,1.956406,442.86
1200,0.28,0.48,0.24,0.146549,0.1498687,2.38401,458.05
1300,0.48,0.36,0.16,0.1481185,0.1471431,2.424212,425.58
1400,0.45,0.4,0.15,0.1445258,0.1445954,1.736005,450.21
1500,0.39,0.47,0.14,0.140837,0.142873,1.638608,418.82
1600,0.32,0.52,0.16,0.1465281,0.1450031,1.960809,451.86
1700,0.39,0.53,0.08,0.1398081,0.1397416,1.398408,317.5
1800,0.34,0.58,0.08,0.1431969,0.1565339,1.534408,349.65
1900,0.38,0.55,0.07,0.1386012,0.1400659,1.387008,351.11
2000,0.42,0.47,0.11,0.1423432,0.1447928,2.142612,397.28
2100,0.41,0.47,0.12,0.1427263,0.1376277,2.464617,383.43
2200,0.4,0.49,0.11,0.1423358,0.1444416,1.711606,369.61
2300,0.36,0.48,0.16,0.1380135,0.1398185,2.242615,427.71
2400,0.42,0.5,0.08,0.1479276,0.1394027,1.454206,329.4
2500,0.38,0.46,0.16,0.1404193,0.1402604,2.847022,400.51
2600,0.44,0.48,0.08,0.1408044,0.1427743,1.452404,335.43
2700,0.36,0.56,0.08,0.144468,0.1494399,1.007403,316.62
2800,0.52,0.4,0.08,0.1396591,0.1379112,2.02041,364.41
2900,0.46,0.48,0.06,0.1445814,0.151237,0.9628009,282.02
3000,0.42,0.47,0.11,0.143766,0.1465745,2.161219,359.09
3100,0.53,0.37,0.1,0.144495,0.138753,1.814606,337.68
3200,0.45,0.48,0.07,0.135285,0.1383325,1.286406,291.79
3300,0.48,0.43,0.09,0.1428782,0.1380097,1.509207,327.07
3400,0.52,0.38,0.1,0.1412942,0.1443122,1.992814,297.2
3500,0.54,0.4,0.06,0.1419827,0.1420414,1.456609,279.18
3600,0.42,0.51,0.07,0.1384724,0.1396271,1.669209,303.61
3700,0.51,0.4,0.09,0.1374896,0.1425588,1.899212,326.27
3800,0.39,0.5,0.11,0.1375467,0.1372623,1.861015,303.23
3900,0.47,0.45,0.08,0.140655,0.1419502,2.27021,318.89
4000,0.45,0.42,0.13,0.1357033,0.1354926,2.514617,329.81
