Episode,RunnerAcc,PursuerAcc,DrawsPercentage,RunnerJitter,PursuerJitter,NearMissTime,EpisodeStepsAvg
100,0.08,0.08,0.84,0.1454855,0.1463769,2.735819,872.48
200,0.09,0.2,0.71,0.1411595,0.1341162,2.133818,746.2
300,0.17,0.26,0.57,0.139757,0.1411616,2.307212,758.78
400,0.17,0.31,0.52,0.1394344,0.1394588,2.421815,672.23
500,0.3,0.39,0.31,0.1417457,0.1433381,1.731009,552.36
600,0.37,0.34,0.29,0.1490032,0.1509012,3.401019,577.38
700,0.35,0.38,0.27,0.1456585,0.1441606,2.628215,552.86
800,0.3,0.4,0.3,0.1462987,0.1425169,2.518612,553.87
900,0.36,0.4,0.24,0.1479659,0.1497981,2.525616,495.77
1000,0.38,0.4,0.22,0.1449237,0.1422605,2.313212,504.82
1100,0.45,0.38,0.17,0.1434881,0.1457925,2.263213,464.04
1200,0.38,0.44,0.18,0.1515476,0.1479764,2.562816,463.88
1300,0.47,0.41,0.12,0.1419794,0.1412822,2.039607,436.03
1400,0.42,0.43,0.15,0.1404312,0.1441166,2.000811,414.69
1500,0.39,0.49,0.12,0.1427837,0.1437486,1.67041,354.21
1600,0.41,0.46,0.13,0.1455581,0.1479327,2.056412,377.53
1700,0.37,0.5,0.13,0.1540315,0.151719,1.552806,375.84
1800,0.43,0.49,0.08,0.1421934,0.1443011,1.175403,343.45
1900,0.36,0.57,0.07,0.1387957,0.1418692,1.325806,311.03
2000,0.37,0.53,0.1,0.1462443,0.1501281,1.753209,342.11
2100,0.42,0.46,0.12,0.1430834,0.144481,1.682809,365.57
2200,0.51,0.44,0.05,0.1363337,0.1389375,1.012803,282.41
2300,0.5,0.44,0.06,0.1390564,0.1432474,1.369205,307.68
2400,0.4,0.56,0.04,0.1453225,0.1457101,1.123804,284.35
2500,0.46,0.5,0.04,0.1380275,0.1407826,1.199804,251.4
2600,0.41,0.54,0.05,0.1338635,0.1357207,1.125005,261.44
2700,0.4,0.55,0.05,0.1502861,0.1490941,1.558809,289.99
2800,0.55,0.42,0.03,0.1465696,0.1458709,1.079202,252.36
2900,0.39,0.55,0.06,0.1451229,0.1470282,1.316606,288.96
3000,0.45,0.51,0.04,0.142267,0.139698,1.008203,286.99
3100,0.4,0.54,0.06,0.1359303,0.1430536,1.87901,319.76
3200,0.5,0.46,0.04,0.1373674,0.1375857,0.8626028,267.07
3300,0.43,0.52,0.05,0.1360744,0.1405232,1.439205,267.75
3400,0.49,0.48,0.03,0.1538826,0.1504002,0.856801,230.84
3500,0.49,0.44,0.07,0.1445331,0.1412341,1.50401,270.77
3600,0.5,0.44,0.06,0.132963,0.13527,1.209406,255.77
3700,0.49,0.46,0.05,0.1453473,0.1393132,1.404806,273.19
3800,0.5,0.48,0.02,0.1358361,0.1309975,1.082401,233.34
3900,0.52,0.42,0.06,0.1415,0.1434778,0.9078038,242.66
4000,0.47,0.51,0.02,0.1415826,0.1366152,0.8180014,223.48
4100,0.39,0.58,0.03,0.1273609,0.1305301,0.7916011,227.4
4200,0.4,0.54,0.06,0.1475946,0.1365027,1.190205,239.67
4300,0.4,0.54,0.06,0.1338539,0.1312973,1.42801,257.02
4400,0.48,0.47,0.05,0.1393321,0.1380301,0.9418035,240.43
4500,0.45,0.53,0.02,0.1459149,0.1423941,0.8870035,222.7
4600,0.41,0.53,0.06,0.1401332,0.1411922,1.347211,244.62
4700,0.5,0.47,0.03,0.1323571,0.131698,1.044405,207.3
4800,0.5,0.47,0.03,0.1331126,0.1384133,1.301006,237.86
4900,0.51,0.47,0.02,0.1374212,0.1409341,0.7526019,209.12
5000,0.46,0.49,0.05,0.1416266,0.1673373,1.433409,250.8
5100,0.49,0.46,0.05,0.1299373,0.1327316,1.293008,241.58
5200,0.44,0.53,0.03,0.1382208,0.1416471,0.8304022,194.58
5300,0.4,0.57,0.03,0.1331538,0.1353512,0.9732055,188.38
5400,0.4,0.58,0.02,0.1309273,0.1362519,0.6590014,228.84
5500,0.41,0.58,0.01,0.1354058,0.1377071,0.5191996,224.23
