Episode,RunnerAcc,PursuerAcc,DrawsPercentage,RunnerJitter,PursuerJitter,NearMissTime,EpisodeStepsAvg
100,0.11,0.16,0.73,0.1381001,0.1413413,1.583609,823.42
200,0.14,0.11,0.75,0.1382108,0.1372187,3.447427,837.13
300,0.15,0.22,0.63,0.1446858,0.1421978,2.422816,792.92
400,0.23,0.3,0.47,0.1403253,0.1392721,2.629612,695.41
500,0.16,0.42,0.42,0.1435722,0.1416843,2.496014,650.04
600,0.23,0.45,0.32,0.1463827,0.1462927,2.686814,628.05
700,0.3,0.39,0.31,0.1489953,0.147766,2.772814,583.67
800,0.36,0.42,0.22,0.1467984,0.1443069,2.218613,530.94
900,0.33,0.44,0.23,0.1494075,0.1475675,2.322814,506.25
1000,0.4,0.38,0.22,0.1454496,0.1411367,3.011219,510.86
1100,0.43,0.4,0.17,0.1406773,0.1427533,2.45981,456.12
1200,0.41,0.48,0.11,0.1439281,0.148782,1.724406,455.55
1300,0.38,0.47,0.15,0.1414832,0.1396704,2.419814,450.16
1400,0.4,0.51,0.09,0.1461606,0.1458321,1.592808,378.69
1500,0.42,0.5,0.08,0.1476163,0.1429815,1.880212,334.21
1600,0.4,0.51,0.09,0.1443431,0.1424249,2.043811,396.27
1700,0.5,0.43,0.07,0.1459108,0.1446556,2.102412,378.68
1800,0.48,0.43,0.09,0.1423133,0.1425673,1.402404,400.72
1900,0.38,0.53,0.09,0.142502,0.1374426,1.91141,359.26
2000,0.4,0.52,0.08,0.1411561,0.1394233,1.394406,344.23
2100,0.45,0.48,0.07,0.1457236,0.145527,1.227206,337.28
2200,0.46,0.51,0.03,0.1449841,0.1480818,1.067003,287.68
2300,0.47,0.48,0.05,0.1407023,0.1432526,1.107801,298.46
2400,0.36,0.56,0.08,0.1473524,0.1449894,1.155207,325.29
2500,0.51,0.46,0.03,0.1526953,0.150811,1.256204,306.57
2600,0.48,0.44,0.08,0.1446775,0.1502843,1.673412,286.71
2700,0.37,0.58,0.05,0.1416126,0.140476,1.424808,343.6
2800,0.46,0.51,0.03,0.1419653,0.1432941,0.8236013,276.33
2900,0.43,0.49,0.08,0.1436878,0.1459155,1.285004,339.68
3000,0.41,0.55,0.04,0.1364931,0.1378502,1.115804,257.45
3100,0.42,0.53,0.05,0.143324,0.1413093,1.372609,260.89
3200,0.36,0.6,0.04,0.1325304,0.1331929,1.117404,313.02
