Episode,RunnerAcc,PursuerAcc,DrawsPercentage,RunnerJitter,PursuerJitter,NearMissTime,EpisodeStepsAvg
100,0.11,0.11,0.78,0.1446811,0.1539231,1.927614,829.63
200,0.11,0.15,0.74,0.1431921,0.144998,1.831413,812.95
300,0.08,0.29,0.63,0.137643,0.1396487,3.399621,769.89
400,0.14,0.3,0.56,0.1410463,0.1451719,2.947213,714.38
500,0.15,0.35,0.5,0.1440092,0.1443634,3.300419,730.42
600,0.21,0.43,0.36,0.1360086,0.1340456,3.330823,578.36
700,0.23,0.45,0.32,0.1489433,0.1538046,2.732618,610.64
800,0.22,0.45,0.33,0.1597581,0.1486076,3.633621,665.66
900,0.24,0.54,0.22,0.1415762,0.1465926,2.470016,536.04
1000,0.28,0.53,0.19,0.1449209,0.1458735,3.443827,534.23
1100,0.35,0.55,0.1,0.1422293,0.145758,2.091012,418.19
1200,0.3,0.52,0.18,0.1400768,0.1438511,2.78742,483.69
1300,0.31,0.56,0.13,0.1506598,0.1638939,2.590019,436.59
1400,0.17,0.68,0.15,0.1352001,0.1401996,2.429419,468.54
1500,0.31,0.55,0.14,0.1505496,0.1505456,2.316818,431.91
1600,0.27,0.64,0.09,0.1480154,0.145647,1.515409,363.71
1700,0.41,0.46,0.13,0.1436801,0.1421674,2.606816,447.9
1800,0.35,0.54,0.11,0.145169,0.1484978,2.252215,448.9
1900,0.28,0.62,0.1,0.1491623,0.1458796,1.834811,405.84
2000,0.28,0.6,0.12,0.1462236,0.1606946,2.026215,392.61
2100,0.46,0.4,0.14,0.1358823,0.135599,2.343615,426.76
2200,0.33,0.59,0.08,0.1417615,0.1491255,1.758009,377.22
2300,0.35,0.56,0.09,0.1505065,0.1464969,1.764213,349.73
2400,0.37,0.59,0.04,0.1430512,0.1428881,1.378006,292.11
2500,0.39,0.54,0.07,0.1445117,0.1439907,1.77561,340.9
2600,0.38,0.56,0.06,0.1497691,0.1536016,1.971411,358.43
2700,0.43,0.53,0.04,0.1458805,0.1459328,1.642006,360.24
2800,0.46,0.49,0.05,0.1453521,0.1467575,1.444805,334.35
2900,0.35,0.59,0.06,0.1395471,0.1381427,1.291407,322.18
3000,0.3,0.58,0.12,0.1454554,0.1437788,2.168014,386.28
3100,0.41,0.53,0.06,0.1584715,0.1523341,1.84041,296.35
3200,0.41,0.52,0.07,0.154538,0.160233,1.932815,310.28
3300,0.45,0.52,0.03,0.1376199,0.1481503,1.531806,271.42
3400,0.36,0.54,0.1,0.1457736,0.1472628,2.128615,355.87
3500,0.43,0.53,0.04,0.1436099,0.1424565,0.989402,269.6
3600,0.41,0.51,0.08,0.1407675,0.1409651,1.614008,314.11
3700,0.37,0.57,0.06,0.139689,0.1524898,1.201805,272.53
3800,0.35,0.58,0.07,0.1459503,0.1439948,1.878211,317.02
3900,0.37,0.6,0.03,0.1492582,0.1566925,0.8766011,265.67
4000,0.31,0.65,0.04,0.1420874,0.14251,1.423807,268.17
4100,0.3,0.58,0.12,0.1465958,0.1434602,1.837211,328.02
4200,0.41,0.52,0.07,0.1480324,0.1474464,1.786613,280.64
4300,0.35,0.61,0.04,0.1530771,0.1533018,1.492809,261.23
4400,0.41,0.54,0.05,0.1456553,0.1549195,1.701209,258.54
4500,0.26,0.64,0.1,0.145727,0.1484682,1.523014,274.73
4600,0.41,0.54,0.05,0.1430129,0.1393434,1.672809,287.8
4700,0.42,0.51,0.07,0.1417947,0.1513265,1.83701,284.95
4800,0.39,0.56,0.05,0.1390401,0.13584,1.479608,274.25
4900,0.41,0.52,0.07,0.1436661,0.1442356,1.740412,278.82
5000,0.36,0.59,0.05,0.1398962,0.1355089,1.047804,279.71
5100,0.41,0.55,0.04,0.1493895,0.1476175,1.382607,274.62
5200,0.43,0.52,0.05,0.1371854,0.1365973,1.277807,232.57
5300,0.4,0.54,0.06,0.1441361,0.1410736,1.908012,306.33
5400,0.4,0.57,0.03,0.1393518,0.1360441,1.011403,249.43
5500,0.32,0.61,0.07,0.1440964,0.1389912,1.402011,294.62
5600,0.38,0.57,0.05,0.1346639,0.1334205,1.755211,259.36
5700,0.37,0.54,0.09,0.1496342,0.1557613,2.303617,310.51
5800,0.4,0.56,0.04,0.1375759,0.1542492,1.515406,246.46
5900,0.36,0.61,0.03,0.1381578,0.1418053,0.8826035,234.78
6000,0.48,0.45,0.07,0.1554669,0.1478813,1.433807,289.32
6100,0.34,0.59,0.07,0.1416034,0.1390369,1.806013,249.71
6200,0.39,0.6,0.01,0.1436871,0.1359659,0.8152016,232.5
6300,0.45,0.51,0.04,0.1474912,0.1506343,1.124205,224.49
6400,0.37,0.54,0.09,0.1442739,0.1493479,1.881217,283.06
6500,0.43,0.48,0.09,0.1355029,0.1344807,1.664609,272.6
6600,0.36,0.58,0.06,0.1437085,0.1387104,1.166807,281.49
6700,0.45,0.49,0.06,0.1402998,0.1341712,1.427808,269.28
