Episode,Winner,RunnerAcc,PursuerAcc,DrawsPercentage,RunnerJitter,PursuerJitter,NearMissTime,EpisodeSteps
1,Pursuer,0.000,1.000,0.000,0.424,1.165,0.00,1.00
2,Runner,0.500,0.500,0.000,0.158,0.135,0.00,33.00
3,Runner,0.667,0.333,0.000,0.140,0.179,1.32,67.00
4,Pursuer,0.500,0.500,0.000,0.140,0.161,0.00,746.00
5,Pursuer,0.400,0.600,0.000,0.152,0.158,0.00,762.00
6,Draw,0.333,0.500,0.167,0.145,0.144,1.64,999.00
7,Draw,0.286,0.429,0.286,0.150,0.142,0.00,999.00
8,Draw,0.250,0.375,0.375,0.152,0.154,0.00,999.00
9,Draw,0.222,0.333,0.444,0.160,0.153,0.00,999.00
10,Draw,0.200,0.300,0.500,0.149,0.158,0.00,999.00
11,Draw,0.182,0.273,0.545,0.144,0.153,0.00,999.00
12,Draw,0.167,0.250,0.583,0.148,0.139,0.00,999.00
13,Draw,0.154,0.231,0.615,0.153,0.144,15.90,999.00
14,Draw,0.143,0.214,0.643,0.158,0.140,0.00,999.00
15,Draw,0.133,0.200,0.667,0.146,0.148,1.30,999.00
16,Draw,0.125,0.188,0.688,0.151,0.153,0.00,999.00
17,Draw,0.118,0.176,0.706,0.159,0.154,0.00,999.00
18,Draw,0.111,0.167,0.722,0.144,0.155,3.44,999.00
19,Draw,0.105,0.158,0.737,0.142,0.148,13.02,999.00
20,Pursuer,0.100,0.200,0.700,0.143,0.140,0.00,66.00
21,Runner,0.143,0.190,0.667,0.076,0.044,0.10,5.00
22,Runner,0.182,0.182,0.636,0.134,0.146,0.00,144.00
23,Pursuer,0.174,0.217,0.609,0.000,0.000,0.00,1.00
24,Draw,0.167,0.208,0.625,0.149,0.147,0.88,999.00
25,Draw,0.160,0.200,0.640,0.161,0.142,0.00,999.00
26,Draw,0.154,0.192,0.654,0.153,0.151,9.42,999.00
27,Draw,0.148,0.185,0.667,0.153,0.156,0.00,999.00
28,Draw,0.143,0.179,0.679,0.153,0.151,0.00,999.00
29,Draw,0.138,0.172,0.690,0.163,0.148,0.00,999.00
30,Draw,0.133,0.167,0.700,0.148,0.157,7.34,999.00
31,Draw,0.129,0.161,0.710,0.145,0.153,0.00,999.00
32,Draw,0.125,0.156,0.719,0.146,0.160,10.18,999.00
33,Draw,0.121,0.152,0.727,0.165,0.141,19.98,999.00
34,Draw,0.118,0.147,0.735,0.164,0.152,0.00,999.00
35,Draw,0.114,0.143,0.743,0.149,0.155,0.00,999.00
36,Pursuer,0.111,0.167,0.722,0.000,0.000,0.00,1.00
