Episode,RunnerAcc,PursuerAcc,DrawsPercentage,RunnerJitter,PursuerJitter,NearMissTime,EpisodeStepsAvg
100,0.06,0.13,0.81,0.1516688,0.1490163,1.176806,846.79
200,0.12,0.17,0.71,0.142324,0.1386656,1.183805,775.47
300,0.19,0.19,0.62,0.1389828,0.1377855,3.540426,748.76
400,0.29,0.25,0.46,0.1425395,0.1400276,2.608615,704.75
500,0.31,0.3,0.39,0.136688,0.1379722,2.36381,628.08
600,0.37,0.33,0.3,0.1461041,0.1449114,2.118608,624.72
700,0.31,0.35,0.34,0.1451107,0.1454743,2.503411,576.89
800,0.48,0.28,0.24,0.1409547,0.144216,2.475013,533.74
900,0.4,0.35,0.25,0.1360058,0.1393053,2.489009,511.13
1000,0.42,0.34,0.24,0.1481692,0.137373,2.081008,472.9
1100,0.46,0.4,0.14,0.1503125,0.1480384,1.680807,482.83
1200,0.51,0.27,0.22,0.1404308,0.1431469,2.347208,507.24
1300,0.47,0.35,0.18,0.1448327,0.1471152,2.313812,466.74
1400,0.41,0.42,0.17,0.1453428,0.1456956,2.219409,457.11
1500,0.51,0.39,0.1,0.147634,0.1479948,1.779804,406.18
1600,0.49,0.35,0.16,0.1460971,0.1450134,1.98481,443.77
1700,0.48,0.42,0.1,0.1536314,0.1502544,1.297204,393.04
1800,0.56,0.31,0.13,0.1402677,0.1397558,1.691809,424.41
1900,0.48,0.45,0.07,0.147241,0.1442409,1.139003,329.22
2000,0.49,0.4,0.11,0.1399274,0.1425588,2.329412,387.65
2100,0.59,0.32,0.09,0.1483242,0.1471403,1.724805,355.06
2200,0.51,0.37,0.12,0.1335116,0.1372131,2.139812,393.24
2300,0.5,0.4,0.1,0.1394816,0.1429906,1.933804,371.32
2400,0.48,0.44,0.08,0.1461764,0.1440545,1.226205,365.64
2500,0.42,0.49,0.09,0.1417662,0.146159,1.728008,361.26
2600,0.54,0.39,0.07,0.1414383,0.1403833,1.563806,297.85
2700,0.47,0.5,0.03,0.1490441,0.1503767,0.7154002,299.2
2800,0.48,0.43,0.09,0.1424863,0.1427285,1.424005,342.81
2900,0.45,0.53,0.02,0.1388724,0.138058,0.8367994,313.98
3000,0.44,0.49,0.07,0.1449188,0.1461076,1.472806,325.55
3100,0.43,0.5,0.07,0.1497334,0.145906,1.536608,334.92
3200,0.53,0.4,0.07,0.1521187,0.1501493,1.351204,299.31
3300,0.46,0.44,0.1,0.1358572,0.1349854,1.151003,355.08
3400,0.55,0.36,0.09,0.1472951,0.1449279,1.469606,298.8
3500,0.53,0.39,0.08,0.1432112,0.145581,1.747811,329.31
3600,0.45,0.49,0.06,0.1380399,0.1394416,1.183007,287.7
3700,0.59,0.39,0.02,0.1401611,0.1363906,0.7532017,248.41
3800,0.58,0.39,0.03,0.1427854,0.1436555,1.279406,292.04
3900,0.46,0.47,0.07,0.130224,0.1374168,1.243607,259.04
4000,0.54,0.43,0.03,0.1411179,0.1425259,1.427806,309.02
4100,0.51,0.44,0.05,0.1448563,0.1494791,1.349608,279.33
4200,0.56,0.38,0.06,0.1408438,0.1386041,1.379408,250.19
4300,0.59,0.34,0.07,0.1381797,0.1392997,1.911213,261.42
4400,0.5,0.46,0.04,0.1420459,0.1447198,1.043806,244.33
4500,0.51,0.46,0.03,0.1377789,0.1339249,0.8750014,261.51
4600,0.61,0.38,0.01,0.1423417,0.1423521,0.9296025,265.93
4700,0.44,0.54,0.02,0.1491815,0.1409392,0.7586027,260.7
4800,0.51,0.44,0.05,0.1373609,0.1346613,1.247607,248.91
4900,0.5,0.43,0.07,0.1521038,0.155028,1.145005,283.64
5000,0.52,0.47,0.01,0.133331,0.1456097,1.004001,237.61
5100,0.53,0.41,0.06,0.13792,0.1385687,1.269606,264
5200,0.44,0.5,0.06,0.136775,0.1421015,1.037204,247.54
5300,0.52,0.44,0.04,0.1399639,0.1418912,0.8238032,239.24
5400,0.48,0.5,0.02,0.1396404,0.1390094,0.8996024,205.71
5500,0.51,0.47,0.02,0.1417551,0.14348,0.8536045,239.83
5600,0.5,0.48,0.02,0.1478927,0.1405441,0.9380049,203.02
5700,0.55,0.42,0.03,0.1342102,0.136177,1.139004,235.68
5800,0.5,0.47,0.03,0.1412763,0.141913,1.035205,211.23
5900,0.54,0.41,0.05,0.1400472,0.1398908,1.366607,244.68
6000,0.6,0.35,0.05,0.1317959,0.1397651,1.667209,250.4
6100,0.46,0.47,0.07,0.1392918,0.1395886,1.723411,286.27
6200,0.52,0.44,0.04,0.1355512,0.1427253,1.206405,255.64
6300,0.44,0.52,0.04,0.1316125,0.1312052,0.8562016,257.53
6400,0.52,0.44,0.04,0.1364739,0.1331362,0.8352025,230.4
6500,0.49,0.46,0.05,0.1332248,0.137631,1.100008,277.7
6600,0.49,0.47,0.04,0.1397657,0.1337616,1.085405,271.15
6700,0.51,0.49,0,0.1313129,0.1342649,0.4673996,227.51
6800,0.58,0.4,0.02,0.1354215,0.1342992,1.085804,229.76
6900,0.58,0.39,0.03,0.1330354,0.1332101,1.229007,242.87
7000,0.53,0.44,0.03,0.133869,0.1280339,0.8770062,192.43
7100,0.5,0.46,0.04,0.1378954,0.1405212,0.8148043,218.42
