Episode,RunnerAcc,PursuerAcc,DrawsPercentage,RunnerJitter,PursuerJitter,NearMissTime,EpisodeStepsAvg
100,0.06,0.17,0.77,0.1569167,0.1540142,1.467011,828.89
200,0.08,0.13,0.79,0.1417461,0.1446729,2.403622,867.04
300,0.15,0.18,0.67,0.1384554,0.137589,2.654024,786.9
400,0.25,0.19,0.56,0.1428269,0.1424055,2.173807,738.26
500,0.16,0.28,0.56,0.1425346,0.1402973,2.912417,746.42
600,0.24,0.31,0.45,0.1442304,0.1465702,2.292014,731.01
700,0.39,0.35,0.26,0.1453881,0.1427388,2.01861,558.09
800,0.35,0.32,0.33,0.144909,0.1409095,2.14961,584.87
900,0.39,0.39,0.22,0.1488976,0.1477421,2.026409,517.02
1000,0.38,0.41,0.21,0.1463406,0.1445504,1.996407,486.24
1100,0.42,0.41,0.17,0.143903,0.1431746,1.762205,492.92
1200,0.32,0.41,0.27,0.1440152,0.1490843,2.00701,520.56
1300,0.48,0.36,0.16,0.1456049,0.1459111,1.946409,470.58
1400,0.5,0.4,0.1,0.1437054,0.1413973,1.87401,432.76
1500,0.41,0.41,0.18,0.1427046,0.1394386,2.377013,509.44
1600,0.45,0.43,0.12,0.1444375,0.1456023,1.507006,418.29
1700,0.45,0.4,0.15,0.1433399,0.1453367,1.601608,407.53
1800,0.47,0.42,0.11,0.1454773,0.1442856,1.796805,437.48
1900,0.47,0.4,0.13,0.1455141,0.1453993,2.026208,377.87
2000,0.41,0.5,0.09,0.1476027,0.1416014,2.017611,385.13
2100,0.53,0.4,0.07,0.1410382,0.141221,1.885806,368.13
2200,0.44,0.48,0.08,0.1347979,0.1352207,1.946009,360.29
2300,0.49,0.48,0.03,0.1446774,0.1487921,1.055802,300.5
2400,0.51,0.43,0.06,0.1365866,0.1391529,1.107803,283.25
2500,0.45,0.46,0.09,0.1448535,0.1484778,2.034009,359.53
2600,0.51,0.4,0.09,0.1423481,0.1483843,0.981602,311.92
2700,0.49,0.47,0.04,0.140154,0.1342889,0.9381999,317.69
2800,0.5,0.45,0.05,0.1410902,0.1417394,1.148602,279.29
2900,0.55,0.39,0.06,0.1403848,0.139057,1.233002,287.01
3000,0.34,0.62,0.04,0.1438078,0.1481514,0.9264064,313.21
3100,0.48,0.46,0.06,0.1355063,0.1368589,1.648008,300.44
3200,0.44,0.53,0.03,0.1459236,0.1422115,0.5652017,283.95
3300,0.44,0.5,0.06,0.1422726,0.1416882,1.509808,282.63
3400,0.43,0.56,0.01,0.1393734,0.1378663,0.8704038,264.59
3500,0.39,0.54,0.07,0.1409937,0.1417292,1.232605,298.71
3600,0.41,0.53,0.06,0.1442583,0.1489928,1.59361,294.61
3700,0.49,0.47,0.04,0.1442944,0.1474371,1.155205,264.13
3800,0.51,0.42,0.07,0.1414267,0.1372173,1.508209,260.26
3900,0.53,0.45,0.02,0.1390005,0.138228,0.9246026,281.43
4000,0.42,0.51,0.07,0.1382172,0.1409779,1.090404,279.03
4100,0.51,0.43,0.06,0.1437088,0.1453373,1.634009,302.63
4200,0.46,0.47,0.07,0.1426933,0.1379168,1.64701,292.49
4300,0.53,0.43,0.04,0.136422,0.1349892,1.380805,256.61
4400,0.36,0.59,0.05,0.1377952,0.1347634,0.8002039,276.84
4500,0.53,0.4,0.07,0.1459498,0.1390123,1.787013,274.49
4600,0.52,0.45,0.03,0.1284413,0.1340646,0.8724038,212.88
4700,0.45,0.47,0.08,0.1348076,0.1353105,2.023015,258.05
4800,0.45,0.54,0.01,0.145409,0.1467273,0.6188009,272.46
4900,0.54,0.42,0.04,0.1328903,0.1370653,1.166205,281.67
5000,0.52,0.45,0.03,0.1390066,0.1360174,1.123605,225.6
5100,0.57,0.38,0.05,0.1348397,0.1369082,1.380007,255.98
5200,0.44,0.53,0.03,0.1414554,0.1444616,1.109006,214.78
5300,0.38,0.6,0.02,0.129559,0.13148,0.6118014,225.98
5400,0.41,0.53,0.06,0.1315036,0.1315955,1.21981,248.45
5500,0.57,0.41,0.02,0.1433497,0.138709,1.135403,225.39
5600,0.51,0.45,0.04,0.133013,0.1311756,1.026004,229.05
5700,0.45,0.54,0.01,0.1350601,0.1330234,0.6982014,199.99
5800,0.55,0.38,0.07,0.1361054,0.1333823,1.72461,246.42
