Episode,RunnerAcc,PursuerAcc,DrawsPercentage,RunnerJitter,PursuerJitter,NearMissTime,EpisodeStepsAvg
100,0.06,0.16,0.78,0.149237,0.1443549,2.631628,850.94
200,0.1,0.14,0.76,0.1386601,0.1401808,2.425421,829.32
300,0.11,0.22,0.67,0.1397673,0.1397673,2.541821,793.8
400,0.14,0.3,0.56,0.1394123,0.1389188,2.378213,737.93
500,0.16,0.34,0.5,0.1465358,0.1501564,3.216824,682.82
600,0.28,0.33,0.39,0.1430818,0.1442934,3.127619,651.47
700,0.39,0.32,0.29,0.1467002,0.1463851,2.697613,544.01
800,0.26,0.38,0.36,0.1496481,0.1438331,2.644412,597.31
900,0.44,0.28,0.28,0.1404878,0.1376124,2.221608,537.99
1000,0.41,0.37,0.22,0.139168,0.1416382,2.42941,546.93
1100,0.4,0.4,0.2,0.1432074,0.1381642,2.744214,497.84
1200,0.38,0.44,0.18,0.1321358,0.1372642,1.65681,436.82
1300,0.44,0.44,0.12,0.1543501,0.1492188,1.483605,404.59
1400,0.49,0.38,0.13,0.1443273,0.145108,1.875808,373.09
1500,0.43,0.45,0.12,0.1418214,0.144056,1.550807,400.13
1600,0.49,0.41,0.1,0.1477488,0.1393035,2.463815,382.91
1700,0.48,0.41,0.11,0.143656,0.1426214,1.453203,367
1800,0.43,0.43,0.14,0.1415175,0.1397547,2.061814,366.68
1900,0.47,0.41,0.12,0.1495803,0.1500586,2.11121,389.03
2000,0.45,0.43,0.12,0.1438898,0.1408336,2.266614,392.25
2100,0.52,0.37,0.11,0.1451105,0.1386333,1.98261,347.4
2200,0.55,0.39,0.06,0.142337,0.1412043,0.9228007,324.63
2300,0.52,0.4,0.08,0.1377685,0.1386623,1.540807,325.02
2400,0.47,0.43,0.1,0.1471104,0.1412131,2.199611,346.2
2500,0.54,0.38,0.08,0.1421468,0.1387156,1.610004,331.36
2600,0.45,0.46,0.09,0.1453205,0.1503325,1.618008,347.19
2700,0.49,0.45,0.06,0.139524,0.1375958,1.491607,303.69
2800,0.55,0.38,0.07,0.1486029,0.1493374,1.490805,370.12
2900,0.5,0.45,0.05,0.1394526,0.14045,1.554404,328.45
3000,0.51,0.4,0.09,0.1458573,0.1391642,1.89981,343.41
3100,0.55,0.39,0.06,0.1391295,0.1413898,1.475607,302
3200,0.57,0.37,0.06,0.1442211,0.1508052,1.272203,324.25
3300,0.54,0.38,0.08,0.1398862,0.1438017,1.549607,309.16
3400,0.48,0.47,0.05,0.150849,0.1561459,1.553409,280.28
3500,0.52,0.43,0.05,0.1479121,0.143854,1.517405,303.84
3600,0.55,0.43,0.02,0.1433797,0.1383163,0.7728021,230.52
3700,0.5,0.41,0.09,0.1452873,0.1436105,1.748209,299.75
3800,0.46,0.5,0.04,0.1465463,0.1438178,0.4797997,260.94
3900,0.52,0.41,0.07,0.1347772,0.138282,1.303005,289.87
4000,0.51,0.43,0.06,0.1339461,0.1355035,1.256409,263.98
4100,0.43,0.5,0.07,0.1471869,0.1439084,1.479809,312.89
4200,0.57,0.35,0.08,0.1441315,0.1392386,2.025813,273.3
4300,0.52,0.44,0.04,0.1423445,0.1362956,1.458805,275.52
4400,0.5,0.45,0.05,0.1368538,0.1397217,1.400406,253.67
4500,0.5,0.45,0.05,0.1440184,0.1515793,1.447608,287.71
4600,0.49,0.46,0.05,0.1415537,0.1429872,1.437609,274.09
4700,0.49,0.49,0.02,0.1308683,0.1358411,0.8470032,231.33
4800,0.51,0.46,0.03,0.1277107,0.1350792,0.9570012,239.34
4900,0.55,0.39,0.06,0.135657,0.1380723,1.288807,265.78
5000,0.63,0.3,0.07,0.1338106,0.1402525,1.495005,244.75
5100,0.51,0.44,0.05,0.1401454,0.1347189,1.223406,256.08
5200,0.49,0.42,0.09,0.1376734,0.1418184,1.835814,275.62
5300,0.48,0.49,0.03,0.136186,0.1431899,0.8554051,239.84
5400,0.47,0.46,0.07,0.1386946,0.1395086,1.714412,279.21
5500,0.52,0.43,0.05,0.1464447,0.1377701,1.717412,246.82
5600,0.54,0.41,0.05,0.1331764,0.1389509,1.387206,233.89
5700,0.44,0.53,0.03,0.1419561,0.1372647,0.7494039,207.76
5800,0.52,0.45,0.03,0.1338446,0.1343018,1.092806,214.51
5900,0.44,0.5,0.06,0.1378321,0.138742,1.570009,271.52
6000,0.45,0.52,0.03,0.1405146,0.1496768,0.9232019,213.88
6100,0.5,0.48,0.02,0.1365468,0.1390083,1.031403,232.83
6200,0.51,0.44,0.05,0.1363658,0.1352232,1.295408,214.65
6300,0.44,0.5,0.06,0.148672,0.1446222,1.016006,203.98
6400,0.51,0.43,0.06,0.1398034,0.138096,1.28621,253.13
6500,0.56,0.4,0.04,0.1327566,0.1327615,0.7536017,219.34
6600,0.45,0.52,0.03,0.139261,0.136149,1.004606,203.06
