Episode,RunnerAcc,PursuerAcc,DrawsPercentage,RunnerJitter,PursuerJitter,NearMissTime,EpisodeStepsAvg
100,0.07,0.13,0.8,0.1411994,0.1382944,2.457022,826.91
200,0.08,0.21,0.71,0.1342878,0.1339061,2.610818,800.22
300,0.15,0.3,0.55,0.1419292,0.1418194,2.534013,730.89
400,0.17,0.38,0.45,0.1426284,0.142494,2.916614,665.31
500,0.19,0.46,0.35,0.1442291,0.1418753,2.09241,615.7
600,0.19,0.48,0.33,0.1370557,0.1391215,2.568815,580.62
700,0.23,0.45,0.32,0.1489573,0.1456598,3.465024,608.7
800,0.21,0.53,0.26,0.1462846,0.1501345,3.109422,525.81
900,0.31,0.48,0.21,0.1438026,0.1440967,3.121219,511.24
1000,0.27,0.5,0.23,0.1386022,0.1410901,3.265625,531.24
1100,0.24,0.55,0.21,0.1493038,0.1491596,2.79022,476.5
1200,0.36,0.5,0.14,0.1406727,0.1393216,2.162209,449.53
1300,0.36,0.45,0.19,0.1532477,0.1533514,2.332219,459.24
1400,0.38,0.5,0.12,0.146149,0.1472875,2.244015,425.77
1500,0.37,0.53,0.1,0.1435583,0.1494557,1.787608,361.21
1600,0.39,0.51,0.1,0.1488164,0.1504362,2.030813,347.55
1700,0.47,0.43,0.1,0.1480099,0.1393956,2.019811,372.67
1800,0.38,0.47,0.15,0.1448486,0.1504399,2.706615,400.65
1900,0.47,0.48,0.05,0.1432414,0.1436788,1.331805,315.96
2000,0.37,0.54,0.09,0.1388794,0.143852,1.746608,332.66
2100,0.41,0.5,0.09,0.1340091,0.1414245,1.755813,331.37
2200,0.41,0.53,0.06,0.133329,0.1369327,1.145805,318.18
2300,0.48,0.48,0.04,0.1405766,0.1400473,1.492209,291.47
2400,0.37,0.55,0.08,0.1440956,0.151105,1.586007,347.11
2500,0.4,0.55,0.05,0.1377259,0.1373267,1.499207,289.27
2600,0.45,0.48,0.07,0.1394508,0.1403384,1.476809,319.53
2700,0.4,0.54,0.06,0.1414784,0.1448361,1.372206,296.09
2800,0.43,0.51,0.06,0.1459534,0.1402287,1.481208,281.75
2900,0.51,0.45,0.04,0.1340809,0.1352258,0.9524016,253.03
3000,0.42,0.55,0.03,0.1354142,0.1353107,1.277004,265.06
3100,0.46,0.5,0.04,0.1471114,0.1473586,1.35561,258.13
3200,0.4,0.5,0.1,0.1410199,0.1433452,1.268607,311.02
3300,0.41,0.55,0.04,0.1348519,0.1354446,1.307207,279.88
3400,0.45,0.49,0.06,0.1416663,0.1423984,1.561006,288.18
3500,0.42,0.54,0.04,0.1382857,0.1383583,1.270007,251.61
3600,0.43,0.53,0.04,0.1352605,0.1308673,0.9204038,248.19
3700,0.53,0.45,0.02,0.1430305,0.1350733,1.025003,242.21
3800,0.39,0.56,0.05,0.142128,0.1473155,1.483412,263.24
3900,0.48,0.46,0.06,0.1480927,0.1392654,1.328209,260.53
4000,0.45,0.5,0.05,0.1327143,0.1317659,1.633811,278.48
4100,0.36,0.55,0.09,0.1438444,0.1488295,1.613012,258.89
4200,0.49,0.47,0.04,0.1308235,0.1342446,1.105003,227.82
4300,0.44,0.48,0.08,0.1371552,0.1429375,2.069214,300.06
4400,0.43,0.5,0.07,0.1294128,0.1339196,1.44341,274.13
4500,0.43,0.55,0.02,0.137956,0.1393907,0.605601,226.49
4600,0.58,0.37,0.05,0.1348297,0.1382562,1.326206,260.07
4700,0.48,0.46,0.06,0.1381983,0.1315247,1.42021,255.11
4800,0.44,0.53,0.03,0.1316528,0.1335496,0.7896028,221.66
4900,0.38,0.57,0.05,0.1425746,0.1363031,0.9180055,225.18
5000,0.47,0.49,0.04,0.1329022,0.1313806,1.147607,232.69
5100,0.47,0.49,0.04,0.1387807,0.1437464,1.345406,235.04
5200,0.51,0.46,0.03,0.1374318,0.1395213,0.853202,236.49
5300,0.47,0.46,0.07,0.1354573,0.1349577,1.856811,282.59
5400,0.55,0.39,0.06,0.1363503,0.1473771,1.909811,240.04
5500,0.47,0.49,0.04,0.1327194,0.1268765,0.6606021,224.61
5600,0.44,0.51,0.05,0.1347162,0.141083,0.8570052,245.37
5700,0.52,0.45,0.03,0.1340165,0.1317965,1.034003,216.14
5800,0.49,0.47,0.04,0.1365848,0.1445058,1.230208,242.14
5900,0.41,0.52,0.07,0.1321102,0.131575,1.561414,254.96
6000,0.5,0.44,0.06,0.1325732,0.1384081,1.389612,246.79
6100,0.48,0.47,0.05,0.1245125,0.1274247,1.028006,221.61
6200,0.42,0.52,0.06,0.1320881,0.1363884,1.606813,265.1
6300,0.45,0.5,0.05,0.1365454,0.1355184,1.410409,243.87
6400,0.42,0.5,0.08,0.1302811,0.1335599,1.58081,240.03
6500,0.46,0.49,0.05,0.1287284,0.1268205,0.9714036,247.77
6600,0.37,0.53,0.1,0.1346781,0.1314825,1.579414,281.22
6700,0.37,0.54,0.09,0.1276862,0.1256386,1.679215,267.32
6800,0.51,0.38,0.11,0.1311055,0.1346088,2.374823,252.88
6900,0.42,0.49,0.09,0.1366839,0.1268505,1.759814,256.52
7000,0.47,0.46,0.07,0.1290609,0.133614,1.550011,222.66
7100,0.44,0.47,0.09,0.1224239,0.1230876,2.035617,265.36
7200,0.43,0.52,0.05,0.1311322,0.129445,1.123208,209.14
7300,0.39,0.57,0.04,0.1350923,0.1356687,0.9974065,203.64
7400,0.38,0.6,0.02,0.131295,0.1303626,0.528402,215
7500,0.37,0.55,0.08,0.1228016,0.1239024,1.901616,246.38
7600,0.43,0.53,0.04,0.1283409,0.1300477,0.6136013,219.79
7700,0.45,0.51,0.04,0.1270124,0.1244736,1.138408,212.11
7800,0.48,0.47,0.05,0.1259939,0.1225374,0.9994071,202.36
7900,0.45,0.5,0.05,0.1232132,0.117409,1.488611,215.97
8000,0.53,0.39,0.08,0.1259735,0.1361263,1.768614,222.15
8100,0.5,0.47,0.03,0.1230182,0.1230125,1.086205,173.85
8200,0.59,0.36,0.05,0.1260573,0.1286432,1.468208,193.68
8300,0.48,0.48,0.04,0.1328699,0.1426012,1.191606,220.54
8400,0.5,0.49,0.01,0.122235,0.1228754,0.6210011,178.58
8500,0.53,0.41,0.06,0.1307839,0.1334468,1.44901,222.31
8600,0.37,0.58,0.05,0.1355644,0.1292356,1.201608,194.07
8700,0.39,0.53,0.08,0.1250457,0.1264268,1.564014,231.74
8800,0.45,0.49,0.06,0.129056,0.1377032,1.542011,207.09
8900,0.5,0.43,0.07,0.1247313,0.1230953,1.705212,224.25
9000,0.38,0.54,0.08,0.1238053,0.1261294,1.874417,245.3
9100,0.4,0.52,0.08,0.1262241,0.1277852,1.881415,240.67
9200,0.36,0.61,0.03,0.1261935,0.126052,0.8198051,192.78
9300,0.46,0.48,0.06,0.1361948,0.1452633,1.301009,184.35
9400,0.42,0.56,0.02,0.1232989,0.1301589,0.7466028,163.57
9500,0.41,0.59,0,0.121432,0.1324404,0.4015997,165.26
9600,0.45,0.5,0.05,0.1226249,0.1180624,1.202411,175.19
9700,0.4,0.57,0.03,0.1250635,0.1283858,0.7892019,192.29
9800,0.46,0.45,0.09,0.1236481,0.119089,2.141618,233.9
9900,0.47,0.47,0.06,0.1270732,0.1224377,1.230209,194.66
10000,0.4,0.54,0.06,0.1214943,0.1218838,1.664214,197.03
10100,0.41,0.55,0.04,0.1377955,0.1307393,1.145008,212.37
10200,0.43,0.51,0.06,0.1266663,0.1361276,1.161006,224.55
10300,0.44,0.49,0.07,0.1187779,0.1204556,1.641613,214.91
10400,0.38,0.58,0.04,0.1190797,0.1191801,0.8652064,182.76
10500,0.45,0.52,0.03,0.1224412,0.1270838,0.9342065,194.91
10600,0.42,0.54,0.04,0.1203535,0.1158135,1.092008,179.5
10700,0.41,0.5,0.09,0.1234744,0.1232674,1.948419,222.54
10800,0.38,0.58,0.04,0.121834,0.1280182,1.173008,159.95
10900,0.45,0.54,0.01,0.118266,0.1204606,0.5886016,154.71
11000,0.45,0.49,0.06,0.1198862,0.1354845,1.60081,230.51
11100,0.47,0.47,0.06,0.1155364,0.1167403,1.140608,199.96
11200,0.41,0.54,0.05,0.1240574,0.1281599,1.297212,190.22
11300,0.47,0.5,0.03,0.1141682,0.1154674,0.8950059,175.25
11400,0.41,0.55,0.04,0.1282226,0.1253972,1.024007,188.06
11500,0.34,0.56,0.1,0.114011,0.1153493,2.060619,234.07
11600,0.38,0.56,0.06,0.1151208,0.1190015,1.030207,206.3
11700,0.34,0.6,0.06,0.1219922,0.1184262,1.406012,205.58
11800,0.42,0.54,0.04,0.1222719,0.1186766,1.023806,190.94
11900,0.4,0.55,0.05,0.1252551,0.1208996,1.292411,220.99
12000,0.4,0.56,0.04,0.1183491,0.1182562,0.8934067,179.71
