Episode,Winner,RunnerJitter,PursuerJitter,NearMissTime
1,Pursuer,0.449,0.36,0
2,Pursuer,0.15,0.187,0
3,Runner,0.152,0.142,0
4,Runner,0.148,0.158,0
5,Runner,0.141,0.156,0
6,Runner,0.141,0.146,9.52
7,Runner,0.148,0.141,0
8,Runner,0.153,0.146,2.76
9,Runner,0.161,0.143,0
10,Runner,0.149,0.154,7.46
11,Runner,0.148,0.144,0
12,Runner,0.151,0.15,4.12
13,Runner,0.152,0.149,0
14,Runner,0.152,0.147,0
15,Runner,0.151,0.143,0
16,Runner,0.142,0.148,0
17,Runner,0.143,0.153,0
18,Runner,0.151,0.14,0
19,Pursuer,0.135,0.151,0
20,Runner,0.152,0.158,0
21,Runner,0.15,0.158,0
22,Runner,0.162,0.157,0
23,Runner,0.152,0.142,0.64
24,Runner,0.164,0.143,19.98
25,Runner,0.145,0.15,19.36
26,Runner,0.137,0.141,0
27,Runner,0.16,0.153,0
28,Runner,0.142,0.152,0.32
29,Runner,0.148,0.159,0
30,Runner,0.149,0.149,19.12
31,Runner,0.147,0.147,0
32,Runner,0.142,0.158,0
33,Runner,0.14,0.15,11.92
34,Runner,0.156,0.156,0
35,Runner,0.135,0.147,0
36,Pursuer,0,0,0
37,Pursuer,0.154,0.149,0
38,Runner,0.152,0.142,15.58
39,Runner,0.156,0.155,0
40,Runner,0.144,0.153,0
41,Runner,0.148,0.146,0
42,Runner,0.16,0.152,0
43,Runner,0.141,0.149,19.98
44,Runner,0.155,0.141,0
45,Runner,0.146,0.159,6.26
46,Runner,0.147,0.152,0
47,Runner,0.151,0.162,0
48,Runner,0.153,0.143,13.08
49,Runner,0.154,0.131,5.7
50,Runner,0.159,0.152,6.54
51,Runner,0.165,0.144,8.48
52,Runner,0.138,0.154,0
53,Runner,0.145,0.165,0
54,Pursuer,0,0,0
55,Pursuer,0.149,0.155,0
56,Runner,0.147,0.154,17
57,Runner,0.153,0.15,3.7
58,Runner,0.143,0.155,0
59,Runner,0.143,0.146,11.76
60,Runner,0.15,0.147,0
61,Runner,0.147,0.159,19.78
62,Runner,0.149,0.148,0
63,Runner,0.156,0.16,2.02
64,Runner,0.137,0.15,0
65,Runner,0.149,0.156,13.92
66,Runner,0.153,0.143,0
67,Runner,0.15,0.147,0
68,Runner,0.155,0.145,0
69,Runner,0.151,0.154,0
70,Runner,0.15,0.152,0
71,Runner,0.154,0.155,6.2
72,Runner,0,0,0
73,Pursuer,0,0,0
74,Pursuer,0,0,0
75,Pursuer,0.144,0.158,0
76,Runner,0.161,0.155,0
77,Pursuer,0.142,0.147,0
78,Runner,0.15,0.144,0
79,Pursuer,0.14,0.156,0
80,Runner,0.152,0.148,2.62
81,Runner,0.153,0.135,0
82,Runner,0.15,0.15,0
83,Runner,0.146,0.154,1.5
84,Runner,0.164,0.16,0
85,Runner,0.145,0.157,8.44
86,Runner,0.156,0.158,0
87,Runner,0.141,0.137,11
88,Runner,0.151,0.156,9.44
89,Runner,0.143,0.152,12.18
90,Runner,0.15,0.149,8.54
91,Runner,0.146,0.148,0
92,Runner,0.138,0.15,0
93,Runner,0.158,0.146,0
94,Runner,0.155,0.148,1.66
95,Runner,0.162,0.159,0
96,Runner,0.141,0.152,0
97,Pursuer,0.136,0.146,0
98,Runner,0.138,0.156,0
99,Runner,0.153,0.154,0
100,Pursuer,0,0,0
101,Runner,0.149,0.148,12.22
102,Runner,0.154,0.158,0
103,Runner,0.151,0.155,0
104,Runner,0.144,0.154,4.36
105,Runner,0.145,0.148,0
106,Runner,0.145,0.158,0
107,Runner,0.156,0.156,0
108,Runner,0.156,0.146,10.3
109,Runner,0.147,0.156,19.98
110,Runner,0.134,0.155,8.18
111,Runner,0.145,0.149,5.54
112,Runner,0.145,0.156,0
113,Pursuer,0.147,0.162,0
114,Runner,0.162,0.153,0
115,Pursuer,0.159,0.161,0
116,Runner,0.145,0.147,0
117,Pursuer,0.139,0.146,0
118,Runner,0.142,0.145,10.8
119,Runner,0.142,0.152,17.08
120,Runner,0.154,0.143,0
121,Runner,0.15,0.152,4.76
122,Runner,0.141,0.151,0
123,Runner,0.167,0.145,10.46
124,Runner,0.155,0.143,5.5
125,Runner,0.157,0.152,8.08
126,Runner,0.155,0.151,0
127,Runner,0.151,0.16,0
128,Runner,0.152,0.134,19.62
129,Runner,0.145,0.149,0
130,Runner,0.151,0.147,11.88
131,Runner,0.15,0.149,7.46
132,Pursuer,0,0,0
133,Pursuer,0.242,0.197,0
134,Runner,0.148,0.154,0
135,Pursuer,0.127,0.071,0
136,Runner,0.149,0.158,0
137,Pursuer,0.145,0.152,0
138,Pursuer,0.165,0.145,0
139,Pursuer,0.165,0.394,0
140,Runner,0.152,0.156,0.64
141,Runner,0.138,0.159,2.08
142,Runner,0.161,0.15,0.08
143,Runner,0.148,0.163,14.82
144,Runner,0.148,0.152,0
145,Runner,0.166,0.138,10.24
146,Runner,0.142,0.144,7.34
147,Runner,0.15,0.156,0
148,Runner,0.145,0.15,0
149,Runner,0.151,0.154,0
150,Runner,0.155,0.15,5.28
151,Runner,0.147,0.164,7.54
152,Runner,0.146,0.153,0
153,Runner,0.151,0.146,0
154,Pursuer,0,0,0
155,Pursuer,0.158,0.142,0
156,Pursuer,0.155,0.148,0
157,Pursuer,0.142,0.166,0
158,Runner,0.146,0.142,0.1
159,Pursuer,0.163,0.144,0
160,Runner,0.154,0.16,7.94
161,Pursuer,0.154,0.151,0
162,Pursuer,0.155,0.147,0
163,Pursuer,0.165,0.154,0
164,Pursuer,0.148,0.144,0
165,Pursuer,0.16,0.138,0
166,Runner,0.15,0.148,13.86
167,Runner,0.146,0.155,0
168,Runner,0.153,0.141,7.9
169,Runner,0.151,0.168,17.74
170,Runner,0.142,0.157,0
171,Runner,0.145,0.146,6.94
172,Runner,0.152,0.142,7.96
173,Runner,0.16,0.125,13.5
174,Runner,0.154,0.142,14.06
175,Runner,0.153,0.146,19.98
176,Runner,0.142,0.16,0
177,Runner,0.154,0.147,4.88
178,Runner,0.159,0.148,12.54
179,Runner,0.153,0.153,4.86
180,Runner,0.177,0.12,2.66
181,Runner,0.159,0.158,0
182,Runner,0.137,0.123,3.46
183,Runner,0.155,0.145,0
184,Runner,0.145,0.165,0
185,Runner,0.151,0.149,0
186,Runner,0.163,0.166,0
187,Pursuer,0.124,0.132,0
188,Pursuer,0.155,0.133,0
189,Runner,0.153,0.146,0
190,Runner,0.149,0.151,0
191,Runner,0.155,0.138,1.1
192,Runner,0.142,0.155,18.1
193,Runner,0.151,0.14,0
194,Runner,0.147,0.146,0
195,Runner,0.152,0.156,0
196,Runner,0.147,0.148,18.4
197,Runner,0.15,0.151,14.84
198,Runner,0.16,0.147,0
199,Runner,0.152,0.142,5.26
200,Pursuer,0,0,0
201,Runner,0.17,0.136,0
202,Pursuer,0.143,0.148,0
203,Runner,0.157,0.165,13.54
204,Runner,0.157,0.157,1.28
205,Pursuer,0,0,0
206,Pursuer,0.14,0.16,0
207,Runner,0.153,0.159,9.06
208,Pursuer,0,0,0
209,Runner,0.148,0.134,0
210,Runner,0.15,0.149,2.14
211,Runner,0.153,0.157,0
212,Runner,0.152,0.143,4.1
213,Pursuer,0,0,0
214,Pursuer,0.156,0.158,0
215,Pursuer,0.147,0.145,0
216,Pursuer,0.152,0.15,0
217,Runner,0.138,0.144,5.4
1,Pursuer,0.132,0.421,0
2,Runner,0.104,0.18,0
3,Pursuer,0.106,0.142,0
4,Runner,0.141,0.132,0
5,Pursuer,0.16,0.157,0
6,Draw,0.147,0.161,0
7,Draw,0.158,0.149,0
8,Draw,0.158,0.151,0
9,Draw,0.161,0.152,0
10,Draw,0.145,0.147,0
11,Draw,0.158,0.148,0
12,Draw,0.159,0.152,0
13,Draw,0.154,0.153,0
14,Draw,0.153,0.153,0.28
15,Draw,0.16,0.165,10.62
16,Draw,0.15,0.144,0.02
17,Draw,0.13,0.149,0
18,Draw,0.156,0.153,0
19,Draw,0.156,0.161,0
20,Pursuer,0,0,0
21,Pursuer,0.142,0.191,0
22,Draw,0.138,0.146,13.22
23,Draw,0.137,0.147,12.48
24,Runner,0.14,0.161,0
25,Pursuer,0.189,0.084,0
26,Pursuer,0.15,0.14,0
27,Pursuer,0.15,0,0
28,Pursuer,0.166,0.169,0
29,Draw,0.148,0.134,7
30,Draw,0.157,0.15,0
31,Draw,0.161,0.154,0
32,Draw,0.153,0.154,19.96
33,Draw,0.144,0.151,0
34,Draw,0.162,0.16,0.26
35,Draw,0.147,0.148,0
36,Draw,0.153,0.136,19.54
37,Draw,0.15,0.146,0
38,Draw,0.161,0.152,7.6
39,Draw,0.152,0.151,0
40,Draw,0.155,0.157,2.74
41,Draw,0.147,0.139,2.96
42,Runner,0,0,0
43,Draw,0.162,0.152,0
44,Draw,0.145,0.14,10.6
45,Draw,0.158,0.15,12.24
46,Runner,0.153,0.144,4.14
47,Draw,0.154,0.15,0
48,Draw,0.153,0.14,0
49,Draw,0.146,0.139,0
50,Draw,0.152,0.145,0
51,Draw,0.161,0.151,1.86
52,Draw,0.154,0.146,0
53,Draw,0.143,0.151,0
54,Draw,0.153,0.158,0
55,Draw,0.158,0.163,6.98
56,Draw,0.149,0.151,0
57,Draw,0.142,0.156,0
58,Draw,0.149,0.146,0
59,Runner,0,0,0
60,Pursuer,0,0,0
61,Pursuer,0,0,0
62,Draw,0.156,0.161,0
63,Draw,0.153,0.14,0
64,Pursuer,0.14,0.142,0
65,Pursuer,0.137,0.162,0
66,Draw,0.152,0.157,0
67,Pursuer,0.076,0.085,0
68,Runner,0.164,0.162,13.22
69,Draw,0.155,0.149,0
70,Pursuer,0.136,0.14,0
71,Pursuer,0.145,0.143,0
72,Draw,0.159,0.144,4.7
73,Draw,0.155,0.156,0
74,Draw,0.148,0.154,6.58
75,Draw,0.156,0.165,0
76,Draw,0.15,0.158,2
77,Draw,0.148,0.146,0
78,Draw,0.146,0.154,0
79,Draw,0.143,0.123,13.8
80,Draw,0.143,0.144,0
81,Draw,0.16,0.147,0
82,Draw,0.149,0.153,0
83,Runner,0,0,0
84,Draw,0.142,0.152,19.98
85,Draw,0.139,0.144,11.36
86,Pursuer,0.127,0.153,0
87,Draw,0.153,0.149,5.3
